Ov,T,S,Sv
0.0,Start of South Australia Innings. Hello and welcome to this Marsh Sheffield Shield clash between the Queensland Bulls and South Australia Redbacks. It is a gloomy looking day at the Gabba with the chance of further showers throughout the days of play. Queensland captain Jimmy Peirson won the toss and elected to bowl first to make use of the overhead conditions. Be back at 10am local time for live play.,,
0.1,"NEW BALL. Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
0.2,"Michael Neser to Henry Hunt. Back of a length, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
0.3,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
0.4,"Michael Neser to Henry Hunt. Short, pulling, Played to backward square leg for 3 runs.",Three runs,3
0.5,"Michael Neser to Jake Carder. Back of a length, working, hit pad to silly point for no runs.",Dot ball,0
0.6,"FOUR! Michael Neser to Jake Carder. Half volley, pushing, Hit Hard past long off for 4 runs.",Four runs,4
1.0,Over 1. 7 runs. Bowler: Michael Neser. South Australia: 7/0(rr 7.00),End of over,
1.1,"Mark Steketee to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
1.2,"Mark Steketee to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
1.3,"Mark Steketee to Henry Hunt. Length ball, working, hit pad to short mid wicket for no runs.",Dot ball,0
1.4,"Mark Steketee to Henry Hunt. Half volley, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
1.5,"Mark Steketee to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
1.6,"FOUR! Mark Steketee to Henry Hunt. Half volley, driving, Hit Hard past long off for 4 runs.",Four runs,4
2.0,Over 2. 4 runs. Bowler: Mark Steketee. South Australia: 11/0(rr 5.50),End of over,
2.1,"Michael Neser to Jake Carder. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
2.2,"OUT! Caught. Michael Neser to Jake Carder. Length ball, defending, Edged to third slip, caught by Street.",Wicket,W
2.3,"Michael Neser to Daniel Drew. Short, Leave, for no runs, fielded by Peirson.",Dot ball,0
2.4,"Michael Neser to Daniel Drew. Half volley, Leave, for no runs, fielded by Peirson.",Dot ball,0
2.5,"Michael Neser to Daniel Drew. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
2.6,"Michael Neser to Daniel Drew. Length ball, glancing, Edged to gully for no runs.",Dot ball,0
3.0,Over 3. no runs. Bowler: Michael Neser. South Australia: 11/1(rr 3.67),End of over,
3.1,"FOUR! Mark Steketee to Henry Hunt. Half volley, working, Hit Hard past deep mid wicket for 4 runs.",Four runs,4
3.2,"Mark Steketee to Henry Hunt. Half volley, working, Played to mid wicket for no runs.",Dot ball,0
3.3,"Mark Steketee to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
3.4,"Mark Steketee to Henry Hunt. Back of a length, glancing, Played to fine leg for 2 runs.",Two runs,2
3.5,"Mark Steketee to Henry Hunt. Length ball, pushing, Played to mid on for 1 run.",One run,1
3.6,"Mark Steketee to Daniel Drew. Back of a length, defending, missed for no runs, fielded by Peirson.",Dot ball,0
4.0,Over 4. 7 runs. Bowler: Mark Steketee. South Australia: 18/1(rr 4.50),End of over,
4.1,"Michael Neser to Henry Hunt. Half volley, pushing, Edged to gully for no runs.",Dot ball,0
4.2,"APPEAL! Michael Neser to Henry Hunt. Length ball, defending, hit pad to silly point for no runs, appeal made for L.B.W.",Dot ball,0
4.3,"Michael Neser to Henry Hunt. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
4.4,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
4.5,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
4.6,"Michael Neser to Henry Hunt. Length ball, pushing, hit pad to short leg for no runs.",Dot ball,0
