version,2.1.0
info,balls_per_over,6
info,team,Kent
info,team,Gloucestershire
info,gender,male
info,season,2017
info,date,2017/07/13
info,event,NatWest T20 Blast
info,venue,College Ground
info,city,Cheltenham
info,toss_winner,Gloucestershire
info,toss_decision,field
info,player_of_match,BAC Howell
info,umpire,RJ Evans
info,umpire,RT Robinson
info,winner,Gloucestershire
info,winner_wickets,6
info,player,Kent,DJ Bell-Drummond
info,player,Kent,JL Denly
info,player,Kent,SA Northeast
info,player,Kent,SW Billings
info,player,Kent,JDS Neesham
info,player,Kent,AJ Blake
info,player,Kent,DI Stevens
info,player,Kent,MT Coles
info,player,Kent,AF Milne
info,player,Kent,JC Tredwell
info,player,Kent,Imran Qayyum
info,player,Gloucestershire,M Klinger
info,player,Gloucestershire,P Mustard
info,player,Gloucestershire,IA Cockbain
info,player,Gloucestershire,CT Bancroft
info,player,Gloucestershire,BAC Howell
info,player,Gloucestershire,JMR Taylor
info,player,Gloucestershire,K Noema-Barnett
info,player,Gloucestershire,TMJ Smith
info,player,Gloucestershire,MD Taylor
info,player,Gloucestershire,DA Payne
info,player,Gloucestershire,CJ Liddle
info,registry,people,AF Milne,350bb1b1
info,registry,people,AJ Blake,ea27a674
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,CJ Liddle,5b3acc53
info,registry,people,CT Bancroft,399b0b94
info,registry,people,DA Payne,6c79c098
info,registry,people,DI Stevens,bca21d18
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,IA Cockbain,542fd5a6
info,registry,people,Imran Qayyum,e5652e3d
info,registry,people,JC Tredwell,49b6c09f
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JL Denly,bdadf7da
info,registry,people,JMR Taylor,aed5be04
info,registry,people,K Noema-Barnett,1ad0b441
info,registry,people,M Klinger,b970a03f
info,registry,people,MD Taylor,01a95383
info,registry,people,MT Coles,e9d5218e
info,registry,people,P Mustard,1b6fef02
info,registry,people,RJ Evans,951127ac
info,registry,people,RT Robinson,b143c87d
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,SW Billings,c16d4035
info,registry,people,TMJ Smith,0a12e736
