version,2.1.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Thailand
info,gender,female
info,season,2016/17
info,date,2017/02/13
info,event,ICC Women's World Cup Qualifier
info,match_number,18
info,venue,Mercantile Cricket Association Ground
info,city,Colombo
info,toss_winner,Thailand
info,toss_decision,bat
info,player_of_match,PRCS Kumarihami
info,umpire,M Hawthorne
info,umpire,S Redfern
info,reserve_umpire,LS Reifer
info,winner,Sri Lanka
info,winner_wickets,7
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,MDN Hansika
info,player,Sri Lanka,PRCS Kumarihami
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,MADD Surangika
info,player,Sri Lanka,PM Weerakkody
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,LE Kaushalya
info,player,Sri Lanka,SS Weerakkody
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,I Ranaweera
info,player,Thailand,N Chantam
info,player,Thailand,S Saengsakaorat
info,player,Thailand,N Boochatham
info,player,Thailand,N Koncharoenkai
info,player,Thailand,S Tippoch
info,player,Thailand,C Sutthiruang
info,player,Thailand,N Chaiwai
info,player,Thailand,R Padunglerd
info,player,Thailand,S Laomi
info,player,Thailand,R Sangsoma
info,player,Thailand,S Saenya
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,I Ranaweera,a61850e6
info,registry,people,LE Kaushalya,8b552293
info,registry,people,LS Reifer,5dee559a
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,MADD Surangika,3f440bd6
info,registry,people,MDN Hansika,dfc89c58
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,PM Weerakkody,1b3718d2
info,registry,people,PRCS Kumarihami,a1c4aed5
info,registry,people,R Padunglerd,8b6c33d0
info,registry,people,R Sangsoma,e1aa1469
info,registry,people,S Laomi,4b15618c
info,registry,people,S Redfern,5b038989
info,registry,people,S Saengsakaorat,6214c0c6
info,registry,people,S Saenya,befa9863
info,registry,people,S Tippoch,9c4b58db
info,registry,people,SIP Fernando,5838cb64
info,registry,people,SS Weerakkody,5f862ccd
