version,2.1.0
info,balls_per_over,6
info,team,South Africa
info,team,Sri Lanka
info,gender,female
info,season,2017
info,date,2017/07/12
info,event,ICC Women's World Cup
info,match_number,22
info,venue,County Ground
info,city,Taunton
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,D van Niekerk
info,umpire,GO Brathwaite
info,umpire,K Cross
info,reserve_umpire,AK Chaudhary
info,match_referee,DT Jukes
info,winner,South Africa
info,winner_wickets,8
info,player,South Africa,L Wolvaardt
info,player,South Africa,L Lee
info,player,South Africa,T Chetty
info,player,South Africa,M du Preez
info,player,South Africa,M Kapp
info,player,South Africa,CL Tryon
info,player,South Africa,D van Niekerk
info,player,South Africa,S Luus
info,player,South Africa,S Ismail
info,player,South Africa,A Khaka
info,player,South Africa,M Klaas
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,PRCS Kumarihami
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,PM Weerakkody
info,player,Sri Lanka,HASD Siriwardene
info,player,Sri Lanka,MADD Surangika
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,SS Weerakkody
info,player,Sri Lanka,LE Kaushalya
info,player,Sri Lanka,KADA Kanchana
info,player,Sri Lanka,I Ranaweera
info,registry,people,A Khaka,0d518f89
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,CL Tryon,4d4605e6
info,registry,people,D van Niekerk,8c5775f3
info,registry,people,DT Jukes,7c215d14
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,HASD Siriwardene,dbd79036
info,registry,people,I Ranaweera,a61850e6
info,registry,people,K Cross,d59c5855
info,registry,people,KADA Kanchana,4ac6664d
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LE Kaushalya,8b552293
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Klaas,ce85fcaf
info,registry,people,M du Preez,e219f17a
info,registry,people,MADD Surangika,3f440bd6
info,registry,people,PM Weerakkody,1b3718d2
info,registry,people,PRCS Kumarihami,a1c4aed5
info,registry,people,S Ismail,108c4c09
info,registry,people,S Luus,6d76bc23
info,registry,people,SS Weerakkody,5f862ccd
info,registry,people,T Chetty,53a5767d
