version,2.1.0
info,balls_per_over,6
info,team,Botswana
info,team,Ghana
info,gender,male
info,season,2017
info,date,2017/04/10
info,event,ICC World Cricket League Africa Region Qualifiers
info,match_number,7
info,venue,Willowmoore Park
info,city,Benoni
info,toss_winner,Ghana
info,toss_decision,field
info,player_of_match,S Ateak
info,umpire,D Odhiambo
info,umpire,C Thorburn
info,reserve_umpire,PM Musoke
info,match_referee,D Govindjee
info,winner,Ghana
info,winner_wickets,4
info,player,Botswana,R Mosweu
info,player,Botswana,K Motlanka
info,player,Botswana,K Modise
info,player,Botswana,I Master
info,player,Botswana,R Nehonde
info,player,Botswana,T Perera
info,player,Botswana,JWN Moses
info,player,Botswana,A Rangaswamy
info,player,Botswana,N Master
info,player,Botswana,T Tshose
info,player,Botswana,D Maisuria
info,player,Ghana,F Baleri
info,player,Ghana,S Ateak
info,player,Ghana,DNA Ankrah
info,player,Ghana,SK Awiah
info,player,Ghana,V Ateak
info,player,Ghana,JH Mensah
info,player,Ghana,MK Anafie
info,player,Ghana,IKO Aboagye
info,player,Ghana,G Bakiweyem
info,player,Ghana,PK Ananya
info,player,Ghana,M Aboagye
info,registry,people,A Rangaswamy,08df0bd3
info,registry,people,C Thorburn,904288fe
info,registry,people,D Govindjee,8b4c4069
info,registry,people,D Maisuria,a96b36af
info,registry,people,D Odhiambo,45994517
info,registry,people,DNA Ankrah,c6614fc0
info,registry,people,F Baleri,6efdad14
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,I Master,90ddee48
info,registry,people,IKO Aboagye,98614193
info,registry,people,JH Mensah,d701081f
info,registry,people,JWN Moses,492c17f0
info,registry,people,K Modise,b7f70e36
info,registry,people,K Motlanka,21549344
info,registry,people,M Aboagye,afe8ff08
info,registry,people,MK Anafie,6949f713
info,registry,people,N Master,4833efb4
info,registry,people,PK Ananya,bc69a6d3
info,registry,people,PM Musoke,dbe27ac1
info,registry,people,R Mosweu,a8236b69
info,registry,people,R Nehonde,4393e047
info,registry,people,S Ateak,a8529363
info,registry,people,SK Awiah,bc3fc527
info,registry,people,T Perera,456397e5
info,registry,people,T Tshose,18ae55e4
info,registry,people,V Ateak,65a60be7
