version,2.2.0
info,balls_per_over,6
info,team,North-West Warriors
info,team,Munster Reds
info,gender,male
info,season,2017
info,date,2017/06/23
info,event,Cricket Ireland Inter-Provincial Twenty20 Trophy
info,venue,"Woodvale Road, Eglinton"
info,city,Eglinton
info,toss_winner,Munster Reds
info,toss_decision,field
info,umpire,N Dunn
info,umpire,R Black
info,reserve_umpire,Jareth McCready
info,winner,North-West Warriors
info,winner_runs,25
info,player,Munster Reds,J Grassi
info,player,Munster Reds,JB Tector
info,player,Munster Reds,N Pretorius
info,player,Munster Reds,RJ Forrest
info,player,Munster Reds,SF Grobler
info,player,Munster Reds,Arslan Anwar
info,player,Munster Reds,HT Tector
info,player,Munster Reds,DC Delany
info,player,Munster Reds,Muhammad Sadique
info,player,Munster Reds,M Neville
info,player,Munster Reds,Yaqoob Ali
info,player,North-West Warriors,SR Thompson
info,player,North-West Warriors,DA Rankin
info,player,North-West Warriors,W McClintock
info,player,North-West Warriors,G Kennedy
info,player,North-West Warriors,J Thompson
info,player,North-West Warriors,AR McBrine
info,player,North-West Warriors,RL Dougherty
info,player,North-West Warriors,SA Britton
info,player,North-West Warriors,SV Lazars
info,player,North-West Warriors,D Scanlon
info,player,North-West Warriors,Ross Allen
info,registry,people,AR McBrine,e957b38f
info,registry,people,Arslan Anwar,9e894c5a
info,registry,people,D Scanlon,51c90542
info,registry,people,DA Rankin,ab859427
info,registry,people,DC Delany,0f9c9d1d
info,registry,people,G Kennedy,574b4c01
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Grassi,913b4b9f
info,registry,people,J Thompson,f31ce798
info,registry,people,JB Tector,64770caf
info,registry,people,Jareth McCready,84fa5232
info,registry,people,M Neville,f6665e89
info,registry,people,Muhammad Sadique,2532a778
info,registry,people,N Dunn,f9c9bd9e
info,registry,people,N Pretorius,398dd99c
info,registry,people,R Allen,415e5c01
info,registry,people,R Black,156c8fb1
info,registry,people,RJ Forrest,a7378253
info,registry,people,RL Dougherty,a124a56b
info,registry,people,SA Britton,de43472d
info,registry,people,SF Grobler,57c0f0c8
info,registry,people,SR Thompson,7f3ad1ed
info,registry,people,SV Lazars,00784913
info,registry,people,W McClintock,b16ddb79
info,registry,people,Yaqoob Ali,92a9be81
