version,2.1.0
info,balls_per_over,6
info,team,Uganda
info,team,Oman
info,gender,male
info,season,2017
info,date,2017/05/26
info,event,ICC World Cricket League Division Three
info,match_number,8
info,venue,Kyambogo Cricket Oval
info,city,Kampala
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,Jatinder Singh
info,umpire,AW Louw
info,umpire,WPM van Liemt
info,reserve_umpire,BB Pradhan
info,match_referee,D Govindjee
info,winner,Oman
info,winner_wickets,6
info,player,Uganda,HB Kayondo
info,player,Uganda,AS Kyobe
info,player,Uganda,Mohammed Irfan (2)
info,player,Uganda,RG Mukasa
info,player,Uganda,S Ukani
info,player,Uganda,L Sematimba
info,player,Uganda,DK Arinaitwe
info,player,Uganda,J Sebanja
info,player,Uganda,F Nsubuga
info,player,Uganda,C Waiswa
info,player,Uganda,H Ssenyondo
info,player,Oman,Khawar Ali
info,player,Oman,Jatinder Singh
info,player,Oman,Aqib Ilyas
info,player,Oman,Sultan Ahmed
info,player,Oman,Naseem Khushi
info,player,Oman,AV Lalcheta
info,player,Oman,Amir Ali
info,player,Oman,M Ansari
info,player,Oman,Bilal Khan
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Mohammad Nadeem
info,registry,people,AS Kyobe,fcfffcd5
info,registry,people,AV Lalcheta,b858be20
info,registry,people,AW Louw,55053e4b
info,registry,people,Amir Ali,3748955d
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,BB Pradhan,8603d942
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,C Waiswa,18db3f22
info,registry,people,D Govindjee,8b4c4069
info,registry,people,DK Arinaitwe,e77e96de
info,registry,people,F Nsubuga,87e33d07
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,HB Kayondo,d26858c0
info,registry,people,J Sebanja,1e78c51c
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,Khawar Ali,934b36a6
info,registry,people,L Sematimba,68e267a8
info,registry,people,M Ansari,681af475
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Mohammed Irfan (2),dc67d315
info,registry,people,Naseem Khushi,c63671e9
info,registry,people,RG Mukasa,011f6b42
info,registry,people,S Ukani,18343026
info,registry,people,Sultan Ahmed,3bf7c034
info,registry,people,WPM van Liemt,2bd48588
info,registry,people,Zeeshan Maqsood,34464143
