version,2.1.0
info,balls_per_over,6
info,team,Hampshire
info,team,Glamorgan
info,gender,male
info,season,2018
info,date,2018/08/10
info,event,Vitality Blast
info,venue,Sophia Gardens
info,city,Cardiff
info,toss_winner,Glamorgan
info,toss_decision,field
info,player_of_match,CA Ingram
info,umpire,IJ Gould
info,umpire,MJ Saggers
info,tv_umpire,NA Mallender
info,winner,Glamorgan
info,winner_wickets,8
info,player,Hampshire,JM Vince
info,player,Hampshire,RR Rossouw
info,player,Hampshire,SA Northeast
info,player,Hampshire,TP Alsop
info,player,Hampshire,LA Dawson
info,player,Hampshire,JJ Weatherley
info,player,Hampshire,GK Berg
info,player,Hampshire,CP Wood
info,player,Hampshire,DW Steyn
info,player,Hampshire,RA Stevenson
info,player,Hampshire,Mujeeb Ur Rahman
info,player,Glamorgan,CAJ Meschede
info,player,Glamorgan,AHT Donald
info,player,Glamorgan,CA Ingram
info,player,Glamorgan,KS Carlson
info,player,Glamorgan,DL Lloyd
info,player,Glamorgan,CB Cooke
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,RAJ Smith
info,player,Glamorgan,AG Salter
info,player,Glamorgan,T van der Gugten
info,player,Glamorgan,MG Hogan
info,registry,people,AG Salter,1a45b864
info,registry,people,AHT Donald,72918338
info,registry,people,CA Ingram,c995d726
info,registry,people,CAJ Meschede,eddf25bd
info,registry,people,CB Cooke,6755cd5c
info,registry,people,CP Wood,1cfac535
info,registry,people,DL Lloyd,0c7f11be
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,GG Wagg,450f6fa6
info,registry,people,GK Berg,42151725
info,registry,people,IJ Gould,a9dfdf6c
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,JM Vince,a15618fe
info,registry,people,KS Carlson,9e707e02
info,registry,people,LA Dawson,4a461c24
info,registry,people,MG Hogan,5da34add
info,registry,people,MJ Saggers,402d5937
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,RA Stevenson,978bd738
info,registry,people,RAJ Smith,6daf5e8c
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,TP Alsop,961b8ff1
