version,2.2.0
info,balls_per_over,6
info,team,Yorkshire
info,team,Hampshire
info,gender,male
info,season,2018
info,date,2018/09/18
info,date,2018/09/19
info,date,2018/09/20
info,date,2018/09/21
info,event,Specsavers County Championship
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_uncontested,true
info,toss_winner,Hampshire
info,toss_decision,field
info,umpire,GD Lloyd
info,umpire,MA Gough
info,outcome,draw
info,player,Yorkshire,A Lyth
info,player,Yorkshire,JA Raval
info,player,Yorkshire,HC Brook
info,player,Yorkshire,GS Ballance
info,player,Yorkshire,T Kohler-Cadmore
info,player,Yorkshire,JA Tattersall
info,player,Yorkshire,TT Bresnan
info,player,Yorkshire,MJ Waite
info,player,Yorkshire,SA Patterson
info,player,Yorkshire,JA Brooks
info,player,Yorkshire,BO Coad
info,player,Hampshire,JJ Weatherley
info,player,Hampshire,OC Soames
info,player,Hampshire,JHK Adams
info,player,Hampshire,JM Vince
info,player,Hampshire,SA Northeast
info,player,Hampshire,TP Alsop
info,player,Hampshire,KJ Abbott
info,player,Hampshire,LA Dawson
info,player,Hampshire,IG Holland
info,player,Hampshire,GK Berg
info,player,Hampshire,FH Edwards
info,registry,people,A Lyth,70b8fd28
info,registry,people,BO Coad,a37b5c0a
info,registry,people,FH Edwards,a7c226e1
info,registry,people,GD Lloyd,36e0770d
info,registry,people,GK Berg,42151725
info,registry,people,GS Ballance,755a77c6
info,registry,people,HC Brook,4ae1755b
info,registry,people,IG Holland,4167f30b
info,registry,people,JA Brooks,8bf61e65
info,registry,people,JA Raval,5f966ec0
info,registry,people,JA Tattersall,793977d8
info,registry,people,JHK Adams,7cc15633
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,JM Vince,a15618fe
info,registry,people,KJ Abbott,a9da7784
info,registry,people,LA Dawson,4a461c24
info,registry,people,MA Gough,76752ac8
info,registry,people,MJ Waite,a4b810d0
info,registry,people,OC Soames,f875edcf
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,SA Patterson,b21ed464
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TP Alsop,961b8ff1
info,registry,people,TT Bresnan,58043739
