version,2.1.0
info,balls_per_over,6
info,team,Karachi Kings
info,team,Peshawar Zalmi
info,gender,male
info,season,2017/18
info,date,2018/03/21
info,event,Pakistan Super League
info,venue,Gaddafi Stadium
info,city,Lahore
info,toss_winner,Karachi Kings
info,toss_decision,field
info,player_of_match,Kamran Akmal
info,umpire,Shozab Raza
info,umpire,Aleem Dar
info,reserve_umpire,Ahmed Shahab
info,tv_umpire,Asif Yaqoob
info,match_referee,Mohammed Anees
info,winner,Peshawar Zalmi
info,winner_runs,13
info,player,Peshawar Zalmi,Kamran Akmal
info,player,Peshawar Zalmi,ADS Fletcher
info,player,Peshawar Zalmi,LA Dawson
info,player,Peshawar Zalmi,Mohammad Hafeez
info,player,Peshawar Zalmi,DJG Sammy
info,player,Peshawar Zalmi,Saad Nasim
info,player,Peshawar Zalmi,Wahab Riaz
info,player,Peshawar Zalmi,CJ Jordan
info,player,Peshawar Zalmi,Hasan Ali
info,player,Peshawar Zalmi,Umaid Asif
info,player,Peshawar Zalmi,Sameen Gul
info,player,Karachi Kings,Mukhtar Ahmed
info,player,Karachi Kings,JL Denly
info,player,Karachi Kings,Babar Azam
info,player,Karachi Kings,CA Ingram
info,player,Karachi Kings,RS Bopara
info,player,Karachi Kings,Danish Aziz
info,player,Karachi Kings,Mohammad Rizwan
info,player,Karachi Kings,Mohammad Amir
info,player,Karachi Kings,TS Mills
info,player,Karachi Kings,Usman Shinwari
info,player,Karachi Kings,Usama Mir
info,registry,people,ADS Fletcher,1bae756b
info,registry,people,Ahmed Shahab,86a1918c
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,Babar Azam,8a75e999
info,registry,people,CA Ingram,c995d726
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DJG Sammy,c03c6200
info,registry,people,Danish Aziz,a4799701
info,registry,people,Hasan Ali,2911de16
info,registry,people,JL Denly,bdadf7da
info,registry,people,Kamran Akmal,ff077124
info,registry,people,LA Dawson,4a461c24
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammed Anees,0d4da5c5
info,registry,people,Mukhtar Ahmed,456f6d99
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,Saad Nasim,3fbb43a9
info,registry,people,Sameen Gul,3be224b0
info,registry,people,Shozab Raza,153c67dc
info,registry,people,TS Mills,245c97cb
info,registry,people,Umaid Asif,f69f1d8a
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,Usman Shinwari,f0e722e0
info,registry,people,Wahab Riaz,b3118300
