version,2.1.0
info,balls_per_over,6
info,team,Canada
info,team,Kenya
info,gender,male
info,season,2017/18
info,date,2018/02/11
info,event,ICC World Cricket League Division Two
info,match_number,8
info,venue,Affies Park
info,city,Windhoek
info,toss_winner,Kenya
info,toss_decision,field
info,player_of_match,R Gunasekera
info,umpire,Sarika Prasad
info,umpire,C Thorburn
info,reserve_umpire,BB Pradhan
info,match_referee,D Govindjee
info,winner,Canada
info,winner_runs,59
info,player,Canada,BS Adhihetty
info,player,Canada,R Gunasekera
info,player,Canada,NR Kumar
info,player,Canada,DN Pathirana
info,player,Canada,NS Dhaliwal
info,player,Canada,NR Kirton
info,player,Canada,Hamza Tariq
info,player,Canada,N Dutta
info,player,Canada,Saad Bin Zafar
info,player,Canada,SS Dhindsa
info,player,Canada,C Pervez
info,player,Kenya,IA Karim
info,player,Kenya,AA Obanda
info,player,Kenya,DM Gondaria
info,player,Kenya,CO Obuya
info,player,Kenya,RR Patel
info,player,Kenya,K Kaul
info,player,Kenya,NM Odhiambo
info,player,Kenya,EB Ringera
info,player,Kenya,HA Varaiya
info,player,Kenya,NN Odhiambo
info,player,Kenya,SO Ngoche
info,registry,people,AA Obanda,7081491e
info,registry,people,BB Pradhan,8603d942
info,registry,people,BS Adhihetty,502ad1dd
info,registry,people,C Pervez,7bf34437
info,registry,people,C Thorburn,904288fe
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Govindjee,8b4c4069
info,registry,people,DM Gondaria,9048c17e
info,registry,people,DN Pathirana,c760c778
info,registry,people,EB Ringera,6cedad99
info,registry,people,HA Varaiya,eeeebf82
info,registry,people,Hamza Tariq,82e81007
info,registry,people,IA Karim,ca92a578
info,registry,people,K Kaul,8a369727
info,registry,people,N Dutta,e258a603
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,NN Odhiambo,753b5a2d
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NR Kumar,b3bad3f2
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,R Gunasekera,9b6ad88a
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SS Dhindsa,ed97af2b
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Sarika Prasad,8ff397fa
