version,2.1.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Ireland
info,gender,male
info,season,2018
info,date,2018/08/20
info,event,Afghanistan tour of Ireland
info,match_number,1
info,venue,"Bready Cricket Club, Magheramason"
info,city,Bready
info,toss_winner,Ireland
info,toss_decision,field
info,umpire,R Black
info,umpire,AJ Neill
info,reserve_umpire,PA Reynolds
info,tv_umpire,M Hawthorne
info,match_referee,RS Madugalle
info,winner,Afghanistan
info,winner_runs,16
info,player,Afghanistan,Mohammad Shahzad
info,player,Afghanistan,Hazratullah
info,player,Afghanistan,Asghar Stanikzai
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Samiullah Shenwari
info,player,Afghanistan,Usman Ghani
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Aftab Alam
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Ireland,PR Stirling
info,player,Ireland,SR Thompson
info,player,Ireland,WTS Porterfield
info,player,Ireland,KJ O'Brien
info,player,Ireland,GC Wilson
info,player,Ireland,A Balbirnie
info,player,Ireland,Simi Singh
info,player,Ireland,GH Dockrell
info,player,Ireland,J Little
info,player,Ireland,TE Kane
info,player,Ireland,PKD Chase
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AJ Neill,7ffe0ce3
info,registry,people,Aftab Alam,2a3a3786
info,registry,people,Asghar Stanikzai,88679525
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,GC Wilson,05de1a5a
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,Hazratullah,5ea51c25
info,registry,people,J Little,9061a703
info,registry,people,KJ O'Brien,243431b5
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Shahzad,d6dcb0c9
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,PA Reynolds,a416c9c3
info,registry,people,PKD Chase,8c2aa0f9
info,registry,people,PR Stirling,cf494ffe
info,registry,people,R Black,156c8fb1
info,registry,people,RS Madugalle,766b5798
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SR Thompson,7f3ad1ed
info,registry,people,Samiullah Shenwari,61646132
info,registry,people,Simi Singh,c9945bdf
info,registry,people,TE Kane,af28816c
info,registry,people,Usman Ghani,e3829b2a
info,registry,people,WTS Porterfield,ec02b798
