version,2.1.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Melbourne Stars
info,gender,male
info,season,2018/19
info,date,2019/02/14
info,event,Big Bash League
info,venue,Bellerive Oval
info,city,Hobart
info,toss_winner,Melbourne Stars
info,toss_decision,field
info,player_of_match,DJ Worrall
info,umpire,SAJ Craig
info,umpire,SJ Nogajski
info,reserve_umpire,MW Graham-Smith
info,tv_umpire,SD Fry
info,match_referee,DJ Harper
info,winner,Melbourne Stars
info,winner_wickets,6
info,player,Hobart Hurricanes,MS Wade
info,player,Hobart Hurricanes,DJM Short
info,player,Hobart Hurricanes,CP Jewell
info,player,Hobart Hurricanes,BR McDermott
info,player,Hobart Hurricanes,GJ Bailey
info,player,Hobart Hurricanes,S Milenko
info,player,Hobart Hurricanes,JP Faulkner
info,player,Hobart Hurricanes,JC Archer
info,player,Hobart Hurricanes,CA Rose
info,player,Hobart Hurricanes,Qais Ahmad
info,player,Hobart Hurricanes,RP Meredith
info,player,Melbourne Stars,BR Dunk
info,player,Melbourne Stars,MP Stoinis
info,player,Melbourne Stars,PSP Handscomb
info,player,Melbourne Stars,NJ Maddinson
info,player,Melbourne Stars,GJ Maxwell
info,player,Melbourne Stars,SE Gotch
info,player,Melbourne Stars,DJ Bravo
info,player,Melbourne Stars,EP Gulbis
info,player,Melbourne Stars,A Zampa
info,player,Melbourne Stars,DJ Worrall
info,player,Melbourne Stars,S Lamichhane
info,registry,people,A Zampa,14f96089
info,registry,people,BR Dunk,272d796e
info,registry,people,BR McDermott,c41043e6
info,registry,people,CA Rose,7517d134
info,registry,people,CP Jewell,806c4e58
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJ Harper,0ec08b27
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DJM Short,1a156c88
info,registry,people,EP Gulbis,bbce4647
info,registry,people,GJ Bailey,5056011d
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,JC Archer,5574750c
info,registry,people,JP Faulkner,808f425a
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,NJ Maddinson,44afbf2d
info,registry,people,PSP Handscomb,ada15e88
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,RP Meredith,64775749
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,S Milenko,479f9b04
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SD Fry,6b725ed1
info,registry,people,SE Gotch,9a0e4ca5
info,registry,people,SJ Nogajski,9b3f9323
