version,2.2.0
info,balls_per_over,6
info,team,Warriors
info,team,Cape Cobras
info,gender,male
info,season,2018/19
info,date,2019/04/12
info,event,CSA T20 Challenge
info,match_number,7
info,venue,"Boland Park, Paarl"
info,city,Paarl
info,toss_winner,Cape Cobras
info,toss_decision,field
info,player_of_match,A Mgijima
info,player_of_match,JN Malan
info,umpire,AT Holdstock
info,umpire,A Jacobs
info,reserve_umpire,A Steenkamp
info,tv_umpire,MW Brown
info,match_referee,S Wadvalla
info,winner,Cape Cobras
info,winner_wickets,7
info,player,Warriors,GL Cloete
info,player,Warriors,MP Breetzke
info,player,Warriors,JT Smuts
info,player,Warriors,M Marais
info,player,Warriors,S Qeshile
info,player,Warriors,LC Ngoepe
info,player,Warriors,TP Kaber
info,player,Warriors,ACR Birch
info,player,Warriors,J de Klerk
info,player,Warriors,SSB Magala
info,player,Warriors,L Sipamla
info,player,Cape Cobras,HM Amla
info,player,Cape Cobras,JN Malan
info,player,Cape Cobras,DG Bedingham
info,player,Cape Cobras,GF Linde
info,player,Cape Cobras,VD Philander
info,player,Cape Cobras,A Mgijima
info,player,Cape Cobras,K Verreynne
info,player,Cape Cobras,SM Khomari
info,player,Cape Cobras,RK Kleinveldt
info,player,Cape Cobras,D Paterson
info,player,Cape Cobras,T Bokako
info,registry,people,A Jacobs,70d117de
info,registry,people,A Mgijima,955e8e86
info,registry,people,A Steenkamp,89c62cf5
info,registry,people,ACR Birch,9df3a2f4
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,D Paterson,462d7c62
info,registry,people,DG Bedingham,a1b69936
info,registry,people,GF Linde,e5437608
info,registry,people,GL Cloete,3bf40832
info,registry,people,HM Amla,e798611a
info,registry,people,J de Klerk,a941d2d5
info,registry,people,JN Malan,f76d7466
info,registry,people,JT Smuts,42172c3c
info,registry,people,K Verreynne,bf814547
info,registry,people,L Sipamla,f892fcf9
info,registry,people,LC Ngoepe,51355a30
info,registry,people,M Marais,7c18b36c
info,registry,people,MP Breetzke,35f173a0
info,registry,people,MW Brown,d83d7796
info,registry,people,RK Kleinveldt,7955eb15
info,registry,people,S Qeshile,94268960
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SM Khomari,3eb228b0
info,registry,people,SSB Magala,8361e524
info,registry,people,T Bokako,032e4384
info,registry,people,TP Kaber,0773c16a
info,registry,people,VD Philander,cfe70281
