version,2.2.0
info,balls_per_over,6
info,team,Balkh Legends
info,team,Kabul Zwanan
info,gender,male
info,season,2018/19
info,date,2018/10/14
info,event,Afghanistan Premier League
info,match_number,14
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Balkh Legends
info,toss_decision,bat
info,player_of_match,CH Gayle
info,umpire,Ahmed Shah Pakteen
info,umpire,AK Chaudhary
info,reserve_umpire,Muhammad Sabir
info,tv_umpire,Bismillah Shinwari
info,match_referee,DT Jukes
info,winner,Balkh Legends
info,winner_runs,21
info,player,Balkh Legends,CH Gayle
info,player,Balkh Legends,EMDY Munaweera
info,player,Balkh Legends,Darwish Rasooli
info,player,Balkh Legends,MN Waller
info,player,Balkh Legends,Mohammad Nabi
info,player,Balkh Legends,Gulbadin Naib
info,player,Balkh Legends,Mirwais Ashraf
info,player,Balkh Legends,Ikram Alikhil
info,player,Balkh Legends,Qais Ahmad
info,player,Balkh Legends,B Laughlin
info,player,Balkh Legends,Abdullah Mazari
info,player,Kabul Zwanan,L Ronchi
info,player,Kabul Zwanan,Hazratullah
info,player,Kabul Zwanan,Javed Ahmadi
info,player,Kabul Zwanan,LJ Evans
info,player,Kabul Zwanan,Shahidullah
info,player,Kabul Zwanan,CA Ingram
info,player,Kabul Zwanan,Rashid Khan
info,player,Kabul Zwanan,Shawkat Zaman
info,player,Kabul Zwanan,Muslim Musa
info,player,Kabul Zwanan,Fareed Ahmad
info,player,Kabul Zwanan,WD Parnell
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,Abdullah Mazari,4846ef98
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,B Laughlin,b2a79f17
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,CA Ingram,c995d726
info,registry,people,CH Gayle,db584dad
info,registry,people,DT Jukes,7c215d14
info,registry,people,Darwish Rasooli,3b2114a5
info,registry,people,EMDY Munaweera,5a22d91c
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Hazratullah,5ea51c25
info,registry,people,Ikram Alikhil,f67c958d
info,registry,people,Javed Ahmadi,0087a35d
info,registry,people,L Ronchi,0fa5042b
info,registry,people,LJ Evans,1c513d54
info,registry,people,MN Waller,ec4dada1
info,registry,people,Mirwais Ashraf,bdd985f2
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Muhammad Sabir,83fd5a46
info,registry,people,Muslim Musa,ac8877ed
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Shahidullah,82b90140
info,registry,people,Shawkat Zaman,5ab08739
info,registry,people,WD Parnell,3a60e0b5
