version,2.2.0
info,balls_per_over,6
info,team,Yorkshire
info,team,Essex
info,gender,male
info,season,2019
info,date,2019/07/07
info,date,2019/07/08
info,date,2019/07/09
info,event,Specsavers County Championship
info,venue,"County Ground, Chelmsford"
info,city,Chelmsford
info,toss_winner,Yorkshire
info,toss_decision,bat
info,umpire,PR Pollard
info,umpire,RJ Bailey
info,winner,Essex
info,winner_wickets,8
info,player,Yorkshire,A Lyth
info,player,Yorkshire,WAR Fraine
info,player,Yorkshire,GS Ballance
info,player,Yorkshire,T Kohler-Cadmore
info,player,Yorkshire,HC Brook
info,player,Yorkshire,JA Tattersall
info,player,Yorkshire,MD Fisher
info,player,Yorkshire,KA Maharaj
info,player,Yorkshire,SA Patterson
info,player,Yorkshire,BO Coad
info,player,Yorkshire,D Olivier
info,player,Essex,NLJ Browne
info,player,Essex,AN Cook
info,player,Essex,T Westley
info,player,Essex,DW Lawrence
info,player,Essex,RK Patel
info,player,Essex,RN ten Doeschate
info,player,Essex,AJA Wheater
info,player,Essex,SR Harmer
info,player,Essex,PM Siddle
info,player,Essex,AP Beard
info,player,Essex,JA Porter
info,registry,people,A Lyth,70b8fd28
info,registry,people,AJA Wheater,71647ced
info,registry,people,AN Cook,f41598c1
info,registry,people,Aaron Beard,eab74985
info,registry,people,BO Coad,a37b5c0a
info,registry,people,D Olivier,a8e56914
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,GS Ballance,755a77c6
info,registry,people,HC Brook,4ae1755b
info,registry,people,JA Porter,5b6d248a
info,registry,people,JA Tattersall,793977d8
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,MD Fisher,8f2dfebf
info,registry,people,NLJ Browne,81efec30
info,registry,people,PM Siddle,bd93fea4
info,registry,people,PR Pollard,85d884bb
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,RK Patel,4531f249
info,registry,people,RN ten Doeschate,4ec07775
info,registry,people,SA Patterson,b21ed464
info,registry,people,SR Harmer,23638956
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,T Westley,25a42048
info,registry,people,WAR Fraine,e3bc992b
