version,2.2.0
info,balls_per_over,6
info,team,Leicestershire
info,team,Lancashire
info,gender,male
info,season,2019
info,date,2019/09/23
info,date,2019/09/24
info,date,2019/09/25
info,date,2019/09/26
info,event,Specsavers County Championship
info,venue,"Grace Road, Leicester"
info,city,Leicester
info,toss_uncontested,true
info,toss_winner,Lancashire
info,toss_decision,field
info,umpire,James Middlebrook
info,umpire,SJ O'Shaughnessy
info,outcome,draw
info,player,Leicestershire,Hassan Azad
info,player,Leicestershire,PJ Horton
info,player,Leicestershire,CN Ackermann
info,player,Leicestershire,MJ Cosgrove
info,player,Leicestershire,GH Rhodes
info,player,Leicestershire,HE Dearden
info,player,Leicestershire,HJ Swindells
info,player,Leicestershire,CF Parkinson
info,player,Leicestershire,BWM Mike
info,player,Leicestershire,D Klein
info,player,Leicestershire,CJC Wright
info,player,Lancashire,KK Jennings
info,player,Lancashire,AL Davies
info,player,Lancashire,JJ Bohannon
info,player,Lancashire,LS Livingstone
info,player,Lancashire,RP Jones
info,player,Lancashire,DJ Vilas
info,player,Lancashire,SJ Croft
info,player,Lancashire,TE Bailey
info,player,Lancashire,LJ Hurt
info,player,Lancashire,MW Parkinson
info,player,Lancashire,RJ Gleeson
info,registry,people,AL Davies,29ede60b
info,registry,people,AM Lilley,88a004e9
info,registry,people,BWM Mike,ed12fcd7
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CJC Wright,6c908ffc
info,registry,people,CN Ackermann,e734d090
info,registry,people,D Klein,aeab0d4f
info,registry,people,DJ Vilas,087210b1
info,registry,people,GH Rhodes,fd8a9b23
info,registry,people,HE Dearden,c41ba637
info,registry,people,HJ Swindells,95fd757d
info,registry,people,Hassan Azad,b9c7596f
info,registry,people,JJ Bohannon,fd96de7c
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,KK Jennings,8479a24a
info,registry,people,LJ Hurt,45ca0dc0
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MJ Cosgrove,be768595
info,registry,people,MW Parkinson,19708692
info,registry,people,PJ Horton,6f4775f7
info,registry,people,RJ Gleeson,402f8494
info,registry,people,RP Jones,ad8cb396
info,registry,people,SJ Croft,ab474682
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,TE Bailey,b9877635
