version,2.2.0
info,balls_per_over,6
info,team,Nottinghamshire
info,team,Warwickshire
info,gender,male
info,season,2019
info,date,2019/04/23
info,event,Royal London One-Day Cup
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Nottinghamshire
info,toss_decision,bat
info,umpire,RA Kettleborough
info,umpire,RJ Warren
info,winner,Nottinghamshire
info,winner_runs,118
info,player,Nottinghamshire,BT Slater
info,player,Nottinghamshire,JM Clarke
info,player,Nottinghamshire,BM Duckett
info,player,Nottinghamshire,JD Libby
info,player,Nottinghamshire,SR Patel
info,player,Nottinghamshire,SJ Mullaney
info,player,Nottinghamshire,TJ Moores
info,player,Nottinghamshire,LJ Fletcher
info,player,Nottinghamshire,JL Pattinson
info,player,Nottinghamshire,ZJ Chappell
info,player,Nottinghamshire,M Carter
info,player,Warwickshire,EJ Pollock
info,player,Warwickshire,DP Sibley
info,player,Warwickshire,SR Hain
info,player,Warwickshire,TR Ambrose
info,player,Warwickshire,WMH Rhodes
info,player,Warwickshire,L Banks
info,player,Warwickshire,CR Woakes
info,player,Warwickshire,AT Thomson
info,player,Warwickshire,HJH Brookes
info,player,Warwickshire,GD Panayi
info,player,Warwickshire,JS Patel
info,registry,people,AT Thomson,ad286dcc
info,registry,people,BM Duckett,5f26f677
info,registry,people,BT Slater,c5f1d2a1
info,registry,people,CR Woakes,4c5d73db
info,registry,people,DP Sibley,97e434a6
info,registry,people,EJ Pollock,d6663a9a
info,registry,people,GD Panayi,1a172d8e
info,registry,people,HJH Brookes,2085e1fa
info,registry,people,JD Libby,0d61d8f0
info,registry,people,JL Pattinson,f752db61
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JS Patel,f5821615
info,registry,people,L Banks,2e6a4807
info,registry,people,LJ Fletcher,e423d162
info,registry,people,M Carter,1ca7c00f
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,SJ Mullaney,0e0d43b4
info,registry,people,SR Hain,67b9536c
info,registry,people,SR Patel,18fac429
info,registry,people,TJ Moores,85dcb721
info,registry,people,TR Ambrose,a15aaa7f
info,registry,people,WMH Rhodes,f54dbda7
info,registry,people,ZJ Chappell,fe5b4367
