version,2.2.0
info,balls_per_over,6
info,team,Essex
info,team,Hampshire
info,gender,male
info,season,2019
info,date,2019/04/28
info,event,Royal London One-Day Cup
info,venue,"County Ground, Chelmsford"
info,city,Chelmsford
info,toss_winner,Essex
info,toss_decision,bat
info,umpire,PR Pollard
info,umpire,RA Kettleborough
info,winner,Essex
info,winner_runs,111
info,player,Essex,AN Cook
info,player,Essex,RK Patel
info,player,Essex,T Westley
info,player,Essex,DW Lawrence
info,player,Essex,RS Bopara
info,player,Essex,RN ten Doeschate
info,player,Essex,PI Walter
info,player,Essex,RG White
info,player,Essex,MT Coles
info,player,Essex,PM Siddle
info,player,Essex,JA Porter
info,player,Hampshire,TP Alsop
info,player,Hampshire,AK Markram
info,player,Hampshire,JM Vince
info,player,Hampshire,SA Northeast
info,player,Hampshire,RR Rossouw
info,player,Hampshire,LA Dawson
info,player,Hampshire,GK Berg
info,player,Hampshire,JK Fuller
info,player,Hampshire,KJ Abbott
info,player,Hampshire,MS Crane
info,player,Hampshire,BTJ Wheal
info,registry,people,AK Markram,6a26221c
info,registry,people,AN Cook,f41598c1
info,registry,people,BTJ Wheal,3f61a062
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,GK Berg,42151725
info,registry,people,JA Porter,5b6d248a
info,registry,people,JK Fuller,dda5aae5
info,registry,people,JM Vince,a15618fe
info,registry,people,KJ Abbott,a9da7784
info,registry,people,LA Dawson,4a461c24
info,registry,people,MS Crane,f0a0204e
info,registry,people,MT Coles,e9d5218e
info,registry,people,PI Walter,57590dbb
info,registry,people,PM Siddle,bd93fea4
info,registry,people,PR Pollard,85d884bb
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RG White,47f7b2cf
info,registry,people,RK Patel,4531f249
info,registry,people,RN ten Doeschate,4ec07775
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,T Westley,25a42048
info,registry,people,TP Alsop,961b8ff1
