version,2.1.0
info,balls_per_over,6
info,team,Yorkshire
info,team,Worcestershire
info,gender,male
info,season,2019
info,date,2019/08/02
info,event,Vitality Blast
info,venue,Headingley
info,city,Leeds
info,toss_winner,Yorkshire
info,toss_decision,bat
info,player_of_match,MH Wessels
info,umpire,James Middlebrook
info,umpire,NGB Cook
info,winner,Worcestershire
info,winner_wickets,5
info,player,Yorkshire,A Lyth
info,player,Yorkshire,T Kohler-Cadmore
info,player,Yorkshire,HC Brook
info,player,Yorkshire,DJ Willey
info,player,Yorkshire,TT Bresnan
info,player,Yorkshire,GS Ballance
info,player,Yorkshire,JA Thompson
info,player,Yorkshire,JA Tattersall
info,player,Yorkshire,DM Bess
info,player,Yorkshire,SA Patterson
info,player,Yorkshire,D Olivier
info,player,Worcestershire,MH Wessels
info,player,Worcestershire,MJ Guptill
info,player,Worcestershire,CJ Ferguson
info,player,Worcestershire,WD Parnell
info,player,Worcestershire,OB Cox
info,player,Worcestershire,RA Whiteley
info,player,Worcestershire,EG Barnard
info,player,Worcestershire,DKH Mitchell
info,player,Worcestershire,GH Rhodes
info,player,Worcestershire,DY Pennington
info,player,Worcestershire,PR Brown
info,registry,people,A Lyth,70b8fd28
info,registry,people,CJ Ferguson,9b4935c8
info,registry,people,D Olivier,a8e56914
info,registry,people,DJ Willey,7f048519
info,registry,people,DKH Mitchell,8108e2d2
info,registry,people,DM Bess,ad46c747
info,registry,people,DY Pennington,219cc59e
info,registry,people,EG Barnard,a510bdd3
info,registry,people,GH Rhodes,fd8a9b23
info,registry,people,GS Ballance,755a77c6
info,registry,people,HC Brook,4ae1755b
info,registry,people,JA Tattersall,793977d8
info,registry,people,JA Thompson,1d2f290a
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,MH Wessels,90f47cf2
info,registry,people,MJ Guptill,2be41edb
info,registry,people,NGB Cook,772fe461
info,registry,people,OB Cox,324a6ee1
info,registry,people,PR Brown,1efd12d1
info,registry,people,RA Whiteley,d346d939
info,registry,people,SA Patterson,b21ed464
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TT Bresnan,58043739
info,registry,people,WD Parnell,3a60e0b5
