version,2.1.0
info,balls_per_over,6
info,team,Derbyshire
info,team,Worcestershire
info,gender,male
info,season,2019
info,date,2019/08/13
info,event,Vitality Blast
info,venue,County Ground
info,city,Derby
info,toss_winner,Derbyshire
info,toss_decision,bat
info,player_of_match,BA Godleman
info,umpire,SJ O'Shaughnessy
info,umpire,ID Blackwell
info,winner,Derbyshire
info,winner_runs,20
info,player,Derbyshire,LM Reece
info,player,Derbyshire,BA Godleman
info,player,Derbyshire,WL Madsen
info,player,Derbyshire,JL du Plooy
info,player,Derbyshire,MJJ Critchley
info,player,Derbyshire,AL Hughes
info,player,Derbyshire,D Smit
info,player,Derbyshire,FJ Hudson-Prentice
info,player,Derbyshire,LV van Beek
info,player,Derbyshire,WB Rankin
info,player,Derbyshire,R Rampaul
info,player,Worcestershire,MH Wessels
info,player,Worcestershire,MJ Guptill
info,player,Worcestershire,CJ Ferguson
info,player,Worcestershire,WD Parnell
info,player,Worcestershire,OB Cox
info,player,Worcestershire,RA Whiteley
info,player,Worcestershire,EG Barnard
info,player,Worcestershire,DKH Mitchell
info,player,Worcestershire,J Leach
info,player,Worcestershire,DY Pennington
info,player,Worcestershire,PR Brown
info,registry,people,AL Hughes,1066a976
info,registry,people,BA Godleman,b26b1e3d
info,registry,people,CJ Ferguson,9b4935c8
info,registry,people,D Smit,4bb02ef1
info,registry,people,DKH Mitchell,8108e2d2
info,registry,people,DY Pennington,219cc59e
info,registry,people,EG Barnard,a510bdd3
info,registry,people,FJ Hudson-Prentice,932d3cc9
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,J Leach,cd143bca
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,LM Reece,9789e56e
info,registry,people,LV van Beek,782fb776
info,registry,people,MH Wessels,90f47cf2
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,OB Cox,324a6ee1
info,registry,people,PR Brown,1efd12d1
info,registry,people,R Rampaul,d68e7f48
info,registry,people,RA Whiteley,d346d939
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,WB Rankin,29b89ae8
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,WL Madsen,86e0f3f0
