version,2.2.0
info,balls_per_over,6
info,team,Comilla Victorians
info,team,Dhaka Dynamites
info,gender,male
info,season,2018/19
info,date,2019/01/22
info,event,Bangladesh Premier League
info,match_number,26
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Dhaka Dynamites
info,toss_decision,field
info,player_of_match,NLTC Perera
info,umpire,Mahfuzur Rahman
info,umpire,REJ Martinesz
info,reserve_umpire,Gazi Sohel
info,tv_umpire,Sharfuddoula
info,match_referee,Samiur Rahman
info,winner,Comilla Victorians
info,winner_runs,7
info,player,Dhaka Dynamites,Hazratullah
info,player,Dhaka Dynamites,SP Narine
info,player,Dhaka Dynamites,Rony Talukdar
info,player,Dhaka Dynamites,Darwish Rasooli
info,player,Dhaka Dynamites,Shakib Al Hasan
info,player,Dhaka Dynamites,AD Russell
info,player,Dhaka Dynamites,Shuvagata Hom
info,player,Dhaka Dynamites,Nurul Hasan
info,player,Dhaka Dynamites,Mohammad Naim
info,player,Dhaka Dynamites,Rubel Hossain
info,player,Dhaka Dynamites,Mohor Sheikh
info,player,Comilla Victorians,Tamim Iqbal
info,player,Comilla Victorians,Anamul Haque
info,player,Comilla Victorians,Imrul Kayes
info,player,Comilla Victorians,Shamsur Rahman
info,player,Comilla Victorians,Shahid Afridi
info,player,Comilla Victorians,NLTC Perera
info,player,Comilla Victorians,LA Dawson
info,player,Comilla Victorians,Ziaur Rahman
info,player,Comilla Victorians,Mohammad Saifuddin
info,player,Comilla Victorians,Mahedi Hasan
info,player,Comilla Victorians,Wahab Riaz
info,registry,people,AD Russell,bbd41817
info,registry,people,Anamul Haque,72b245dd
info,registry,people,Darwish Rasooli,3b2114a5
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Hazratullah,5ea51c25
info,registry,people,Imrul Kayes,5fbe14fc
info,registry,people,LA Dawson,4a461c24
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mahfuzur Rahman,3275b68b
info,registry,people,Mohammad Naim,7923a51d
info,registry,people,Mohammad Saifuddin,b3a28446
info,registry,people,Mohor Sheikh,b3213c74
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,Nurul Hasan,d365d463
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,Rony Talukdar,8bd614b2
info,registry,people,Rubel Hossain,f56cd097
info,registry,people,SP Narine,9d430b40
info,registry,people,Samiur Rahman,e41d80d9
info,registry,people,Shahid Afridi,0dc00542
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shamsur Rahman,02789d88
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Shuvagata Hom,bb01f9e0
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,Wahab Riaz,b3118300
info,registry,people,Ziaur Rahman,c27518d2
