version,2.1.0
info,balls_per_over,6
info,team,South Africa
info,team,Pakistan
info,gender,female
info,season,2019
info,date,2019/05/22
info,event,Pakistan Women tour of South Africa
info,match_number,4
info,venue,Willowmoore Park
info,city,Benoni
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,L Lee
info,umpire,Lauren Agenbag
info,umpire,AT Holdstock
info,reserve_umpire,BP Jele
info,match_referee,S Wadvalla
info,winner,South Africa
info,winner_wickets,4
info,player,Pakistan,Javeria Khan
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Bismah Maroof
info,player,Pakistan,Nida Dar
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Iram Javed
info,player,Pakistan,Kainat Imtiaz
info,player,Pakistan,Sana Mir
info,player,Pakistan,Rameen Shamim
info,player,Pakistan,Sidra Nawaz
info,player,Pakistan,Fatima Sana
info,player,South Africa,L Lee
info,player,South Africa,T Brits
info,player,South Africa,N de Klerk
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,M du Preez
info,player,South Africa,S Jafta
info,player,South Africa,S Ismail
info,player,South Africa,M Klaas
info,player,South Africa,N Shangase
info,player,South Africa,M Daniels
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,BP Jele,7bb1331e
info,registry,people,Bismah Maroof,3b770527
info,registry,people,CL Tryon,4d4605e6
info,registry,people,Fatima Sana,ea9c54de
info,registry,people,Iram Javed,dc596fac
info,registry,people,Javeria Khan,d921449d
info,registry,people,Kainat Imtiaz,9714e764
info,registry,people,L Lee,7b01ce83
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Daniels,16443d2f
info,registry,people,M Klaas,ce85fcaf
info,registry,people,M du Preez,e219f17a
info,registry,people,N Shangase,b17a4a93
info,registry,people,N de Klerk,ea544967
info,registry,people,Nida Dar,ed840f44
info,registry,people,Rameen Shamim,0b78b7c1
info,registry,people,S Ismail,108c4c09
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,Sana Mir,b287e7b1
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Sidra Nawaz,ca3ded6f
info,registry,people,T Brits,06659caa
