,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
SJ Bryce,SJ Bryce,Scotland,8,8,1,0,100.0,0,0.0,0,0,0,0
L Jack,L Jack,Scotland,32,55,1,0,58.18181818181818,0,0.0,0,0,0,0
RS Glen,RS Glen,Scotland,8,12,1,0,66.66666666666666,3,17.0,1,0,0,5.666666666666667
PA Chatterji,PA Chatterji,Scotland,20,20,2,0,100.0,2,16.0,1,0,3,8.0
RV Scholes,RV Scholes,Scotland,6,5,1,0,120.0,4,11.0,0,0,0,2.75
RK Willis,RK Willis,Scotland,0,2,0,0,0.0,0,0.0,0,0,0,0
EL Watson,EL Watson,Scotland,12,14,1,0,85.71428571428571,0,0.0,0,0,0,0
K McGill,K McGill,Scotland,5,6,0,0,83.33333333333334,3,18.0,3,0,0,6.0
HRA Rainey,HRA Rainey,Scotland,0,0,0,0,0,2,10.0,0,0,0,5.0
M McColl,M McColl,Scotland,0,0,0,0,0,2,8.0,1,0,0,4.0
K Fraser,K Fraser,Scotland,0,0,0,0,0,4,12.0,1,0,0,3.0
GH Lewis,GH Lewis,Ireland,14,15,2,0,93.33333333333333,0,0.0,0,0,0,0
L Paul,L Paul,Ireland,1,4,0,0,25.0,0,0.0,0,0,0,0
KJ Garth,KJ Garth,Ireland,30,38,2,0,78.94736842105263,0,0.0,0,0,0,0
U Raymond-Hoey,U Raymond-Hoey,Ireland,17,36,0,0,47.22222222222222,0,0.0,0,0,0,0
L Delany,L Delany,Ireland,24,26,1,0,92.3076923076923,4,19.0,1,0,2,4.75
EAJ Richardson,EAJ Richardson,Ireland,1,2,0,0,50.0,4,14.0,3,0,1,3.5
MV Waldron,MV Waldron,Ireland,0,0,0,0,0,0,0.0,0,0,0,0
S MacMahon,S MacMahon,Ireland,0,1,0,0,0.0,3,25.0,0,0,1,8.333333333333334
L Maritz,L Maritz,Ireland,0,0,0,0,0,3,14.0,2,0,0,4.666666666666667
H Little,H Little,Ireland,0,0,0,0,0,3,15.0,0,0,2,5.0
C Raack,C Raack,Ireland,0,0,0,0,0,3,12.0,0,1,0,4.0
