version,2.1.0
info,balls_per_over,6
info,team,Netherlands
info,team,Scotland
info,gender,female
info,season,2019
info,date,2019/08/13
info,event,Women's T20I Quadrangular Series (in Netherlands)
info,match_number,10
info,venue,Sportpark Het Schootsveld
info,city,Deventer
info,toss_winner,Netherlands
info,toss_decision,field
info,umpire,PA Reynolds
info,umpire,WPM van Liemt
info,reserve_umpire,Ryan Milne
info,match_referee,R Kemming
info,winner,Scotland
info,winner_runs,62
info,method,D/L
info,player,Scotland,SJ Bryce
info,player,Scotland,L Jack
info,player,Scotland,RS Glen
info,player,Scotland,PA Chatterji
info,player,Scotland,EL Watson
info,player,Scotland,RK Willis
info,player,Scotland,K McGill
info,player,Scotland,S Haggo
info,player,Scotland,HRA Rainey
info,player,Scotland,M McColl
info,player,Scotland,K Fraser
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,AH Thomson
info,player,Netherlands,J Post
info,player,Netherlands,AS van Beuge
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,LK Bennett
info,player,Netherlands,EN Lynch
info,player,Netherlands,L Klokgieters
info,player,Netherlands,S Siegers
info,player,Netherlands,C de Lange
info,registry,people,AH Thomson,5d2031f0
info,registry,people,AS van Beuge,623c8835
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,EL Watson,45dd7433
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,HRA Rainey,7027d12f
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,J Post,b58b1ae5
info,registry,people,K Fraser,a0a65375
info,registry,people,K McGill,bba7558e
info,registry,people,L Jack,e565ceb7
info,registry,people,L Klokgieters,53c738ac
info,registry,people,LK Bennett,ecbbebf1
info,registry,people,M McColl,d5fa2ab3
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,PA Reynolds,a416c9c3
info,registry,people,R Kemming,30fd5378
info,registry,people,RK Willis,fff4e348
info,registry,people,RS Glen,45c2db15
info,registry,people,Ryan Milne,d2343b26
info,registry,people,S Haggo,35230fa3
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SL Kalis,2b150c6b
info,registry,people,WPM van Liemt,2bd48588
