version,2.1.0
info,balls_per_over,6
info,team,United States of America
info,team,Bermuda
info,gender,male
info,season,2019
info,date,2019/08/22
info,event,ICC Men's T20 World Cup Americas Region Final
info,match_number,8
info,venue,Bermuda National Stadium
info,city,Hamilton
info,toss_winner,Bermuda
info,toss_decision,field
info,player_of_match,DAP Darrell
info,umpire,JM Williams
info,umpire,H Grewal
info,reserve_umpire,Emmerson Carrington
info,match_referee,Reon King
info,winner,Bermuda
info,winner_wickets,4
info,player,United States of America,TK Patel
info,player,United States of America,XM Marshall
info,player,United States of America,S Sohal
info,player,United States of America,CJ Gannon
info,player,United States of America,Steven Ryan Taylor
info,player,United States of America,TP Allen
info,player,United States of America,SN Netravalkar
info,player,United States of America,HR Walsh
info,player,United States of America,Aaron Jones
info,player,United States of America,K Gore
info,player,United States of America,MD Patel
info,player,Bermuda,GH O'Brien
info,player,Bermuda,MO Jones
info,player,Bermuda,RJ Trott
info,player,Bermuda,TS Fray
info,player,Bermuda,DAP Darrell
info,player,Bermuda,S Smith
info,player,Bermuda,KS Leverock
info,player,Bermuda,O Bascome
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,OGL Bascome
info,player,Bermuda,AC Douglas
info,registry,people,AC Douglas,f86ce673
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,CJ Gannon,519c30cb
info,registry,people,DAP Darrell,56f53516
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,GH O'Brien,7bbeac6d
info,registry,people,H Grewal,1172f36e
info,registry,people,HR Walsh,1ac2a995
info,registry,people,JM Williams,b61d9d70
info,registry,people,K Gore,a6bab2a9
info,registry,people,KS Leverock,e1592949
info,registry,people,MD Patel,25d7f1ac
info,registry,people,MO Jones,0e0afd8b
info,registry,people,O Bascome,3cc58287
info,registry,people,OGL Bascome,94a1827c
info,registry,people,RJ Trott,52f96571
info,registry,people,Reon King,20fbf68c
info,registry,people,S Smith,18a0ba24
info,registry,people,S Sohal,3fca55af
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,Steven Ryan Taylor,a9231c3f
info,registry,people,TK Patel,95fcbfb7
info,registry,people,TP Allen,30baaf1f
info,registry,people,TS Fray,c7537f8a
info,registry,people,XM Marshall,ffb504b1
