version,2.2.0
info,balls_per_over,6
info,team,Jozi Stars
info,team,Paarl Rocks
info,gender,male
info,season,2019/20
info,date,2019/12/01
info,event,Mzansi Super League
info,match_number,21
info,venue,"New Wanderers Stadium, Johannesburg"
info,city,Johannesburg
info,toss_winner,Paarl Rocks
info,toss_decision,field
info,player_of_match,BS Makhanya
info,umpire,PJ Vosloo
info,umpire,Stephen Harris
info,reserve_umpire,MN Gampu
info,tv_umpire,AT Holdstock
info,match_referee,SB Lambson
info,winner,Paarl Rocks
info,winner_wickets,5
info,player,Jozi Stars,RD Rickelton
info,player,Jozi Stars,RR Hendricks
info,player,Jozi Stars,T Bavuma
info,player,Jozi Stars,HE van der Dussen
info,player,Jozi Stars,Shoaib Malik
info,player,Jozi Stars,DT Christian
info,player,Jozi Stars,S Qeshile
info,player,Jozi Stars,K Rabada
info,player,Jozi Stars,LB Williams
info,player,Jozi Stars,AM Phangiso
info,player,Jozi Stars,D Olivier
info,player,Paarl Rocks,H Davids
info,player,Paarl Rocks,CS Delport
info,player,Paarl Rocks,F du Plessis
info,player,Paarl Rocks,JM Vince
info,player,Paarl Rocks,K Verreynne
info,player,Paarl Rocks,BS Makhanya
info,player,Paarl Rocks,I Udana
info,player,Paarl Rocks,BC Fortuin
info,player,Paarl Rocks,GC Viljoen
info,player,Paarl Rocks,T Shamsi
info,player,Paarl Rocks,K Mungroo
info,registry,people,AM Phangiso,7f8ecc51
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BS Makhanya,1b42a100
info,registry,people,CS Delport,afa78c3a
info,registry,people,D Olivier,a8e56914
info,registry,people,DT Christian,2a2e6343
info,registry,people,F du Plessis,3355b542
info,registry,people,GC Viljoen,a316d663
info,registry,people,H Davids,9c9f8dbc
info,registry,people,HE van der Dussen,9948e262
info,registry,people,I Udana,ac5ae4af
info,registry,people,JM Vince,a15618fe
info,registry,people,K Mungroo,56feceb0
info,registry,people,K Rabada,e62dd25d
info,registry,people,K Verreynne,bf814547
info,registry,people,LB Williams,a1d95bd8
info,registry,people,MN Gampu,41597619
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,RD Rickelton,e66732f8
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,S Qeshile,94268960
info,registry,people,SB Lambson,4146063f
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,T Shamsi,a03bba42
