version,2.1.0
info,balls_per_over,6
info,team,Glamorgan
info,team,Gloucestershire
info,gender,male
info,season,2020
info,date,2020/08/29
info,event,Vitality Blast
info,venue,County Ground
info,city,Bristol
info,toss_winner,Gloucestershire
info,toss_decision,field
info,player_of_match,AG Salter
info,umpire,JH Evans
info,umpire,ID Blackwell
info,match_referee,DA Cosker
info,winner,Glamorgan
info,winner_runs,15
info,player,Glamorgan,WT Root
info,player,Glamorgan,DA Douthwaite
info,player,Glamorgan,A Balbirnie
info,player,Glamorgan,CB Cooke
info,player,Glamorgan,M de Lange
info,player,Glamorgan,KS Carlson
info,player,Glamorgan,Callum Taylor
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,AG Salter
info,player,Glamorgan,T van der Gugten
info,player,Glamorgan,P Sisodiya
info,player,Gloucestershire,Miles Hammond
info,player,Gloucestershire,CDJ Dent
info,player,Gloucestershire,IA Cockbain
info,player,Gloucestershire,RF Higgins
info,player,Gloucestershire,James Bracey
info,player,Gloucestershire,JMR Taylor
info,player,Gloucestershire,GFB Scott
info,player,Gloucestershire,GL van Buuren
info,player,Gloucestershire,MD Taylor
info,player,Gloucestershire,TMJ Smith
info,player,Gloucestershire,DA Payne
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AG Salter,1a45b864
info,registry,people,CB Cooke,6755cd5c
info,registry,people,CDJ Dent,10435ca2
info,registry,people,Callum Taylor,5a42a396
info,registry,people,DA Cosker,aac9f784
info,registry,people,DA Douthwaite,03df7a25
info,registry,people,DA Payne,6c79c098
info,registry,people,GFB Scott,c2b6764d
info,registry,people,GG Wagg,450f6fa6
info,registry,people,GL van Buuren,ba377b40
info,registry,people,IA Cockbain,542fd5a6
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JH Evans,f444fdac
info,registry,people,JMR Taylor,aed5be04
info,registry,people,James Bracey,5bfdc77a
info,registry,people,KS Carlson,9e707e02
info,registry,people,M de Lange,d4eef961
info,registry,people,MD Taylor,01a95383
info,registry,people,Miles Hammond,c88bc84a
info,registry,people,P Sisodiya,dd9de7ad
info,registry,people,RF Higgins,ad212f96
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,TMJ Smith,0a12e736
info,registry,people,WT Root,72898514
