version,2.2.0
info,balls_per_over,6
info,team,Sylhet Thunder
info,team,Rajshahi Royals
info,gender,male
info,season,2019/20
info,date,2019/12/13
info,event,Bangladesh Premier League
info,match_number,5
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Rajshahi Royals
info,toss_decision,field
info,player_of_match,Alok Kapali
info,umpire,Mahfuzur Rahman
info,umpire,Sharfuddoula
info,reserve_umpire,Morshed Ali Khan
info,tv_umpire,Masudur Rahman
info,match_referee,Neeyamur Rashid
info,winner,Rajshahi Royals
info,winner_wickets,8
info,player,Sylhet Thunder,Rony Talukdar
info,player,Sylhet Thunder,J Charles
info,player,Sylhet Thunder,Mohammad Mithun
info,player,Sylhet Thunder,BMAJ Mendis
info,player,Sylhet Thunder,Mosaddek Hossain
info,player,Sylhet Thunder,Nazmul Hossain Milon
info,player,Sylhet Thunder,Nayeem Hasan
info,player,Sylhet Thunder,Naveen-ul-Haq
info,player,Sylhet Thunder,K Santokie
info,player,Sylhet Thunder,Nazmul Islam
info,player,Sylhet Thunder,Ebadat Hossain
info,player,Rajshahi Royals,Hazratullah
info,player,Rajshahi Royals,Liton Das
info,player,Rajshahi Royals,Afif Hossain
info,player,Rajshahi Royals,Shoaib Malik
info,player,Rajshahi Royals,Alok Kapali
info,player,Rajshahi Royals,RS Bopara
info,player,Rajshahi Royals,AD Russell
info,player,Rajshahi Royals,Farhad Reza
info,player,Rajshahi Royals,Taijul Islam
info,player,Rajshahi Royals,Abu Jayed
info,player,Rajshahi Royals,Minhajul Abedin Afridi
info,registry,people,AD Russell,bbd41817
info,registry,people,Abu Jayed,1bb0993e
info,registry,people,Afif Hossain,37138918
info,registry,people,Alok Kapali,54279e23
info,registry,people,BMAJ Mendis,9868bc75
info,registry,people,Ebadat Hossain,cb5100f1
info,registry,people,Farhad Reza,4948a447
info,registry,people,Hazratullah,5ea51c25
info,registry,people,J Charles,09a9d073
info,registry,people,K Santokie,531f0278
info,registry,people,Liton Das,0404d43c
info,registry,people,Mahfuzur Rahman,3275b68b
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Minhajul Abedin Afridi,6eec260b
info,registry,people,Mohammad Mithun,77191792
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Mosaddek Hossain,8919756f
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Nayeem Hasan,1670dcfd
info,registry,people,Nazmul Hossain Milon,0637aa94
info,registry,people,Nazmul Islam,6575e3bc
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,Rony Talukdar,8bd614b2
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Taijul Islam,9d1d34bd
