version,2.2.0
info,balls_per_over,6
info,team,Dhaka Platoon
info,team,Khulna Tigers
info,gender,male
info,season,2019/20
info,date,2020/01/11
info,event,Bangladesh Premier League
info,match_number,42
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Khulna Tigers
info,toss_decision,field
info,player_of_match,Nazmul Hossain Shanto
info,umpire,DJ Millns
info,umpire,Mahfuzur Rahman
info,reserve_umpire,Moniruzzaman
info,tv_umpire,Tanvir Ahmed
info,match_referee,Akhtar Ahmad
info,winner,Khulna Tigers
info,winner_wickets,8
info,player,Dhaka Platoon,Tamim Iqbal
info,player,Dhaka Platoon,Mominul Haque
info,player,Dhaka Platoon,Anamul Haque
info,player,Dhaka Platoon,Jaker Ali
info,player,Dhaka Platoon,Mahedi Hasan
info,player,Dhaka Platoon,NLTC Perera
info,player,Dhaka Platoon,Shadab Khan
info,player,Dhaka Platoon,Asif Ali
info,player,Dhaka Platoon,Faheem Ashraf
info,player,Dhaka Platoon,Mashrafe Mortaza
info,player,Dhaka Platoon,Hasan Mahmud
info,player,Khulna Tigers,Nazmul Hossain Shanto
info,player,Khulna Tigers,Mehedi Hasan Miraz
info,player,Khulna Tigers,RR Rossouw
info,player,Khulna Tigers,Mushfiqur Rahim
info,player,Khulna Tigers,Najibullah Zadran
info,player,Khulna Tigers,Shamsur Rahman
info,player,Khulna Tigers,R Frylinck
info,player,Khulna Tigers,Mohammad Amir
info,player,Khulna Tigers,Shafiul Islam
info,player,Khulna Tigers,Shohidul Islam
info,player,Khulna Tigers,Aminul Islam Biplob
info,registry,people,Akhtar Ahmad,29859e71
info,registry,people,Aminul Islam,f8ce577b
info,registry,people,Anamul Haque,72b245dd
info,registry,people,Ariful Haque,ad1730bc
info,registry,people,Asif Ali,0a4736eb
info,registry,people,DJ Millns,46ecfe40
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,Jaker Ali,cd56a813
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mahfuzur Rahman,3275b68b
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mominul Haque,de0a3209
info,registry,people,Moniruzzaman,075e9f9c
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,R Frylinck,8b248d88
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shafiul Islam,1a8eebbe
info,registry,people,Shamsur Rahman,02789d88
info,registry,people,Shohidul Islam,607ed7c2
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,Tanvir Ahmed,ea2df1f1
