version,2.1.0
info,balls_per_over,6
info,team,Mumbai Indians
info,team,Rajasthan Royals
info,gender,male
info,season,2020/21
info,date,2020/10/06
info,event,Indian Premier League
info,match_number,20
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,Mumbai Indians
info,toss_decision,bat
info,player_of_match,SA Yadav
info,umpire,VK Sharma
info,umpire,S Ravi
info,reserve_umpire,UV Gandhe
info,tv_umpire,CB Gaffaney
info,match_referee,Shakti Singh
info,winner,Mumbai Indians
info,winner_runs,57
info,player,Mumbai Indians,Q de Kock
info,player,Mumbai Indians,RG Sharma
info,player,Mumbai Indians,SA Yadav
info,player,Mumbai Indians,Ishan Kishan
info,player,Mumbai Indians,KH Pandya
info,player,Mumbai Indians,HH Pandya
info,player,Mumbai Indians,KA Pollard
info,player,Mumbai Indians,JL Pattinson
info,player,Mumbai Indians,RD Chahar
info,player,Mumbai Indians,TA Boult
info,player,Mumbai Indians,JJ Bumrah
info,player,Rajasthan Royals,YBK Jaiswal
info,player,Rajasthan Royals,JC Buttler
info,player,Rajasthan Royals,SPD Smith
info,player,Rajasthan Royals,SV Samson
info,player,Rajasthan Royals,MK Lomror
info,player,Rajasthan Royals,TK Curran
info,player,Rajasthan Royals,R Tewatia
info,player,Rajasthan Royals,JC Archer
info,player,Rajasthan Royals,S Gopal
info,player,Rajasthan Royals,AS Rajpoot
info,player,Rajasthan Royals,Kartik Tyagi
info,registry,people,AS Rajpoot,db31895a
info,registry,people,AS Roy,e4cdf230
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JL Pattinson,f752db61
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KH Pandya,5b8c830e
info,registry,people,Kartik Tyagi,5d2eea49
info,registry,people,MK Lomror,da934ee8
info,registry,people,Q de Kock,372455c4
info,registry,people,R Tewatia,39a2dfa8
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RG Sharma,740742ef
info,registry,people,S Gopal,7a8bd078
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SA Yadav,271f83cd
info,registry,people,SPD Smith,30a45b23
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Shakti Singh,eb90d319
info,registry,people,TA Boult,a818c1be
info,registry,people,TK Curran,e86754b2
info,registry,people,UV Gandhe,43dd4011
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
