version,2.2.0
info,balls_per_over,6
info,team,Middlesex
info,team,Kent
info,gender,male
info,season,2020
info,date,2020/08/15
info,date,2020/08/16
info,date,2020/08/17
info,date,2020/08/18
info,event,Bob Willis Trophy
info,venue,"St Lawrence Ground, Canterbury"
info,city,Canterbury
info,toss_winner,Kent
info,toss_decision,field
info,umpire,NL Bainton
info,umpire,NJ Llong
info,match_referee,GR Cowdrey
info,outcome,draw
info,player,Middlesex,SD Robson
info,player,Middlesex,MDE Holden
info,player,Middlesex,SS Eskinazi
info,player,Middlesex,RG White
info,player,Middlesex,MK Andersson
info,player,Middlesex,JLB Davies
info,player,Middlesex,JA Simpson
info,player,Middlesex,JAR Harris
info,player,Middlesex,ER Bamber
info,player,Middlesex,ML Cummins
info,player,Middlesex,TN Walallawita
info,player,Kent,DJ Bell-Drummond
info,player,Kent,MK O'Riordan
info,player,Kent,JL Denly
info,player,Kent,JA Leaning
info,player,Kent,SW Billings
info,player,Kent,OG Robinson
info,player,Kent,ME Milnes
info,player,Kent,DI Stevens
info,player,Kent,G Stewart
info,player,Kent,FJ Klaassen
info,player,Kent,Hamidullah Qadri
info,registry,people,DI Stevens,bca21d18
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,ER Bamber,948beb1f
info,registry,people,FJ Klaassen,c042b412
info,registry,people,G Stewart,a77472dc
info,registry,people,GR Cowdrey,2f711e71
info,registry,people,Hamidullah Qadri,eec81780
info,registry,people,JA Leaning,f2ab7a69
info,registry,people,JA Simpson,f05fe9b1
info,registry,people,JAR Harris,f1ba9ed7
info,registry,people,JL Denly,bdadf7da
info,registry,people,JLB Davies,76dc16d4
info,registry,people,MDE Holden,d34a2268
info,registry,people,ME Milnes,3dcd1e8d
info,registry,people,MK Andersson,d26e0405
info,registry,people,MK O'Riordan,94db3502
info,registry,people,ML Cummins,92aa28fe
info,registry,people,NJ Llong,573fb985
info,registry,people,NL Bainton,cd219cb3
info,registry,people,OG Robinson,60f4c586
info,registry,people,RG White,47f7b2cf
info,registry,people,SD Robson,76cb1a7f
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,SW Billings,c16d4035
info,registry,people,TN Walallawita,64212089
