version,2.1.0
info,balls_per_over,6
info,team,Barbados Tridents
info,team,Guyana Amazon Warriors
info,gender,male
info,season,2020
info,date,2020/09/01
info,event,Caribbean Premier League
info,match_number,22
info,venue,"Brian Lara Stadium, Tarouba"
info,city,Trinidad
info,toss_winner,Barbados Tridents
info,toss_decision,bat
info,player_of_match,Naveen-ul-Haq
info,umpire,N Duguid
info,umpire,Zahid Bassarath
info,reserve_umpire,K Kowlessar
info,tv_umpire,GO Brathwaite
info,match_referee,M Ragoonath
info,winner,Guyana Amazon Warriors
info,winner_wickets,8
info,player,Barbados Tridents,J Charles
info,player,Barbados Tridents,JP Greaves
info,player,Barbados Tridents,KR Mayers
info,player,Barbados Tridents,JO Holder
info,player,Barbados Tridents,SD Hope
info,player,Barbados Tridents,JL Carter
info,player,Barbados Tridents,MJ Santner
info,player,Barbados Tridents,AR Nurse
info,player,Barbados Tridents,RA Reifer
info,player,Barbados Tridents,Rashid Khan
info,player,Barbados Tridents,HR Walsh
info,player,Guyana Amazon Warriors,BA King
info,player,Guyana Amazon Warriors,K Sinclair
info,player,Guyana Amazon Warriors,SO Hetmyer
info,player,Guyana Amazon Warriors,N Pooran
info,player,Guyana Amazon Warriors,LRPL Taylor
info,player,Guyana Amazon Warriors,R Shepherd
info,player,Guyana Amazon Warriors,KMA Paul
info,player,Guyana Amazon Warriors,CJ Green
info,player,Guyana Amazon Warriors,Naveen-ul-Haq
info,player,Guyana Amazon Warriors,K Magram
info,player,Guyana Amazon Warriors,Imran Tahir
info,registry,people,AR Nurse,4a745f65
info,registry,people,BA King,7fca84b7
info,registry,people,CJ Green,19b9f399
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,HR Walsh,1ac2a995
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,J Charles,09a9d073
info,registry,people,JL Carter,0a9d8b61
info,registry,people,JO Holder,0f721006
info,registry,people,JP Greaves,74d12124
info,registry,people,K Kowlessar,1f1345e7
info,registry,people,K Magram,63a64f19
info,registry,people,K Sinclair,314642ed
info,registry,people,KMA Paul,75224f22
info,registry,people,KR Mayers,73c18486
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,M Ragoonath,6f596571
info,registry,people,MJ Santner,e4a0deae
info,registry,people,N Duguid,64495506
info,registry,people,N Pooran,3241e3fd
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,R Shepherd,c5aef772
info,registry,people,RA Reifer,d7725664
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Zahid Bassarath,ca6bf044
