version,2.1.0
info,balls_per_over,6
info,team,Auckland
info,team,Central Districts
info,gender,male
info,season,2020/21
info,date,2021/01/23
info,event,Super Smash
info,match_number,21
info,venue,Eden Park Outer Oval
info,city,Auckland
info,toss_winner,Central Districts
info,toss_decision,field
info,umpire,CM Brown
info,umpire,WR Knights
info,reserve_umpire,Damian Morrow
info,tv_umpire,A Mehrotra
info,match_referee,PA Horne
info,winner,Auckland
info,winner_runs,17
info,player,Auckland,MJ Guptill
info,player,Auckland,SM Solia
info,player,Auckland,GD Phillips
info,player,Auckland,MS Chapman
info,player,Auckland,RR O'Donnell
info,player,Auckland,BJ Horne
info,player,Auckland,KA Jamieson
info,player,Auckland,RM ter Braak
info,player,Auckland,WER Somerville
info,player,Auckland,L Delport
info,player,Auckland,BG Lister
info,player,Central Districts,GH Worker
info,player,Central Districts,D Cleaver
info,player,Central Districts,WA Young
info,player,Central Districts,LRPL Taylor
info,player,Central Districts,TC Bruce
info,player,Central Districts,JA Clarkson
info,player,Central Districts,K Noema-Barnett
info,player,Central Districts,DAJ Bracewell
info,player,Central Districts,AY Patel
info,player,Central Districts,JFA Field
info,player,Central Districts,BM Tickner
info,registry,people,A Mehrotra,f336ff13
info,registry,people,AY Patel,fbd4f01f
info,registry,people,BG Lister,79f5bc26
info,registry,people,BJ Horne,5d99a16a
info,registry,people,BM Tickner,48ad3373
info,registry,people,CM Brown,448f4f1c
info,registry,people,D Cleaver,e3a949be
info,registry,people,DAJ Bracewell,2e9fdf9b
info,registry,people,Damian Morrow,0fb1f503
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,GH Worker,51a36d3e
info,registry,people,JA Clarkson,bed90114
info,registry,people,JFA Field,0085a7ce
info,registry,people,K Noema-Barnett,1ad0b441
info,registry,people,KA Jamieson,68c56d09
info,registry,people,L Delport,2c1438ef
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MS Chapman,7fa12533
info,registry,people,PA Horne,095976d7
info,registry,people,RM ter Braak,ac3e5a31
info,registry,people,RR O'Donnell,2742086d
info,registry,people,SM Solia,fd9f43bb
info,registry,people,TC Bruce,f92c9151
info,registry,people,WA Young,8afe73e2
info,registry,people,WER Somerville,74a1c1e3
info,registry,people,WR Knights,63cbf8d8
