version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Papua New Guinea
info,gender,male
info,season,2021
info,date,2021/09/09
info,event,Papua New Guinea v United States of America ODI Series
info,match_number,2
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
info,city,Al Amarat
info,toss_winner,Papua New Guinea
info,toss_decision,field
info,player_of_match,JS Malhotra
info,umpire,Ahmed Shah Pakteen
info,umpire,Vinod Babu
info,reserve_umpire,Harikrishna Pillai
info,match_referee,GF Labrooy
info,winner,United States of America
info,winner_runs,134
info,player,United States of America,Steven Ryan Taylor
info,player,United States of America,SJ Modani
info,player,United States of America,MD Patel
info,player,United States of America,Aaron Jones
info,player,United States of America,JS Malhotra
info,player,United States of America,NK Patel
info,player,United States of America,K Gore
info,player,United States of America,NP Kenjige
info,player,United States of America,AA Paradkar
info,player,United States of America,Jasdeep Singh
info,player,United States of America,SN Netravalkar
info,player,Papua New Guinea,TP Ura
info,player,Papua New Guinea,L Siaka
info,player,Papua New Guinea,A Vala
info,player,Papua New Guinea,CJA Amini
info,player,Papua New Guinea,S Bau
info,player,Papua New Guinea,K Doriga
info,player,Papua New Guinea,G Toka
info,player,Papua New Guinea,N Vanua
info,player,Papua New Guinea,CA Soper
info,player,Papua New Guinea,D Ravu
info,player,Papua New Guinea,N Pokana
info,registry,people,A Vala,72e60730
info,registry,people,AA Paradkar,96f5b685
info,registry,people,Aaron Jones,17aa4f1d
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,CA Soper,9920dd86
info,registry,people,CJA Amini,4d84ad05
info,registry,people,D Ravu,053f3ce3
info,registry,people,G Toka,c3564c2d
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,Harikrishna Pillai,ed918c90
info,registry,people,JS Malhotra,9633359f
info,registry,people,Jasdeep Singh,5ec41cd7
info,registry,people,K Doriga,365229a8
info,registry,people,K Gore,a6bab2a9
info,registry,people,L Siaka,6b4593ee
info,registry,people,MD Patel,25d7f1ac
info,registry,people,N Pokana,87a92b6b
info,registry,people,N Vanua,a36915ce
info,registry,people,NK Patel,c6e10e5c
info,registry,people,NP Kenjige,f7d267f7
info,registry,people,S Bau,9a95bebb
info,registry,people,SJ Modani,290cba17
info,registry,people,SN Netravalkar,c8a3f688
info,registry,people,SR Taylor,a9231c3f
info,registry,people,TP Ura,a82eb3fb
info,registry,people,Vinod Babu,37e6187d
