version,2.2.0
info,balls_per_over,6
info,team,Swaziland
info,team,Lesotho
info,gender,male
info,season,2021/22
info,date,2021/10/16
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A & B
info,match_number,2
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Swaziland
info,toss_decision,bat
info,player_of_match,Muhammad Amin
info,umpire,A Paleker
info,umpire,Claus Schumacher
info,reserve_umpire,D Odhiambo
info,match_referee,SA Fritz
info,winner,Swaziland
info,winner_runs,54
info,player,Swaziland,C Forbes
info,player,Swaziland,Muhammad Amin
info,player,Swaziland,Naeem Gull
info,player,Swaziland,J Ghadiyali
info,player,Swaziland,JJ Wright
info,player,Swaziland,Shehzad Patel
info,player,Swaziland,Umair Qasim
info,player,Swaziland,J Hansrod
info,player,Swaziland,S Kubheka
info,player,Swaziland,M Magagula
info,player,Swaziland,JF Chester
info,player,Lesotho,AAA Patel
info,player,Lesotho,C Tlali
info,player,Lesotho,Mohammad Maaz Khan
info,player,Lesotho,YYM Jakda
info,player,Lesotho,Sameer Patel
info,player,Lesotho,Sarfaraj Patel
info,player,Lesotho,Omar Hussain
info,player,Lesotho,MV Matsau
info,player,Lesotho,M Leporoporo
info,player,Lesotho,L Monanthane
info,player,Lesotho,TD Chaoana
info,registry,people,A Paleker,634b11ac
info,registry,people,AAA Patel,fd3c5c00
info,registry,people,C Forbes,8a9e3cd0
info,registry,people,C Tlali,70841eab
info,registry,people,Claus Schumacher,85645e62
info,registry,people,D Odhiambo,45994517
info,registry,people,J Ghadiyali,53419aff
info,registry,people,J Hansrod,a8473c4a
info,registry,people,JF Chester,5a719b87
info,registry,people,JJ Wright,c5981c9c
info,registry,people,L Monanthane,07e5bda2
info,registry,people,M Leporoporo,e7a0cb9a
info,registry,people,M Magagula,7a787b98
info,registry,people,MV Matsau,dad64776
info,registry,people,Maaz Khan,6f14ddcb
info,registry,people,Muhammad Amin,ce9ce42f
info,registry,people,Naeem Gull,4c49c917
info,registry,people,Omar Hussain,2002c586
info,registry,people,S Kubheka,d0178c53
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Sameer Patel,2bae86b6
info,registry,people,Sarfaraj Patel,f15d17c7
info,registry,people,Shehzad Patel,101373a3
info,registry,people,TD Chaoana,16ddd36b
info,registry,people,Umair Qasim,e086735b
info,registry,people,YYM Jakda,2e3dc859
