version,2.2.0
info,balls_per_over,6
info,team,India
info,team,New Zealand
info,gender,female
info,season,2021/22
info,date,2022/02/18
info,event,India Women tour of New Zealand
info,match_number,3
info,venue,"John Davies Oval, Queenstown"
info,city,Queenstown
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,LR Down
info,umpire,C Black
info,umpire,JM Dempsey
info,reserve_umpire,DJ Walker
info,tv_umpire,JAK Bromley
info,match_referee,GAV Baxter
info,winner,New Zealand
info,winner_wickets,3
info,player,India,S Meghana
info,player,India,Shafali Verma
info,player,India,YH Bhatia
info,player,India,M Raj
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,Sneh Rana
info,player,India,T Bhatia
info,player,India,J Goswami
info,player,India,E Bisht
info,player,India,Renuka Singh
info,player,New Zealand,SFM Devine
info,player,New Zealand,SW Bates
info,player,New Zealand,AC Kerr
info,player,New Zealand,AE Satterthwaite
info,player,New Zealand,ML Green
info,player,New Zealand,LR Down
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,KJ Martin
info,player,New Zealand,FL Mackay
info,player,New Zealand,HM Rowe
info,player,New Zealand,RA Mair
info,registry,people,AC Kerr,7673c908
info,registry,people,AE Satterthwaite,72b7ed1e
info,registry,people,C Black,75b42f71
info,registry,people,DB Sharma,201fef33
info,registry,people,DJ Walker,d4aea8ac
info,registry,people,E Bisht,705489eb
info,registry,people,FL Mackay,7391f160
info,registry,people,GAV Baxter,cb4b3ab0
info,registry,people,H Kaur,53cd8da6
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,J Goswami,84f1ae7f
info,registry,people,JAK Bromley,ccf7baaf
info,registry,people,JM Dempsey,153c9f33
info,registry,people,KJ Martin,cf75a839
info,registry,people,LMM Tahuhu,60471339
info,registry,people,LR Down,19147fe0
info,registry,people,M Raj,ec2269dc
info,registry,people,ML Green,865eae1f
info,registry,people,RA Mair,d5eb8b84
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Meghana,302fb7ae
info,registry,people,S Rana,c4c374d9
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,Shafali Verma,d8f59089
info,registry,people,T Bhatia,211dc1ce
info,registry,people,YH Bhatia,9c3d4e8a
