version,2.2.0
info,balls_per_over,6
info,team,New Zealand
info,team,Australia
info,gender,female
info,season,2022
info,date,2022/08/06
info,event,Commonwealth Games Women's Cricket Competition
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Australia
info,toss_decision,field
info,umpire,JM Williams
info,umpire,Lauren Agenbag
info,reserve_umpire,VG Rathi
info,tv_umpire,S Redfern
info,match_referee,GS Lakshmi
info,winner,Australia
info,winner_wickets,5
info,player,New Zealand,SFM Devine
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,HNK Jensen
info,player,New Zealand,HM Rowe
info,player,New Zealand,IC Gaze
info,player,New Zealand,FC Jonas
info,player,Australia,AJ Healy
info,player,Australia,BL Mooney
info,player,Australia,MM Lanning
info,player,Australia,TM McGrath
info,player,Australia,RL Haynes
info,player,Australia,A Gardner
info,player,Australia,GM Harris
info,player,Australia,JL Jonassen
info,player,Australia,A King
info,player,Australia,ML Schutt
info,player,Australia,D Brown
info,registry,people,A Gardner,bc969efb
info,registry,people,A King,83558266
info,registry,people,AC Kerr,7673c908
info,registry,people,AJ Healy,321644de
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,D Brown,2e81be88
info,registry,people,FC Jonas,6df697a9
info,registry,people,GE Plimmer,575494db
info,registry,people,GM Harris,72166006
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,HNK Jensen,b8cce99f
info,registry,people,IC Gaze,60c250bf
info,registry,people,JL Jonassen,0475a86b
info,registry,people,JM Williams,b61d9d70
info,registry,people,LMM Tahuhu,60471339
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,ML Green,865eae1f
info,registry,people,ML Schutt,17608a6f
info,registry,people,MM Lanning,27e003ce
info,registry,people,RL Haynes,d7c6b0fb
info,registry,people,S Redfern,5b038989
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,VG Rathi,144e5b16
