version,2.2.0
info,balls_per_over,6
info,team,Fortune Barishal
info,team,Sylhet Sunrisers
info,gender,male
info,season,2021/22
info,date,2022/02/08
info,event,Bangladesh Premier League
info,match_number,24
info,venue,Sylhet International Cricket Stadium
info,city,Sylhet
info,toss_winner,Sylhet Sunrisers
info,toss_decision,field
info,player_of_match,Shakib Al Hasan
info,umpire,Mozahiduzzaman
info,umpire,Tanvir Ahmed
info,reserve_umpire,Ali Arman
info,tv_umpire,Masudur Rahman
info,match_referee,Raqibul Hasan (2)
info,winner,Fortune Barishal
info,winner_runs,12
info,player,Fortune Barishal,Munim Shahriar
info,player,Fortune Barishal,CH Gayle
info,player,Fortune Barishal,Nurul Hasan
info,player,Fortune Barishal,Shakib Al Hasan
info,player,Fortune Barishal,Towhid Hridoy
info,player,Fortune Barishal,DJ Bravo
info,player,Fortune Barishal,Nazmul Hossain Shanto
info,player,Fortune Barishal,Ziaur Rahman
info,player,Fortune Barishal,Mujeeb Ur Rahman
info,player,Fortune Barishal,Mehedi Hasan Rana
info,player,Fortune Barishal,Shafiqul Islam
info,player,Sylhet Sunrisers,CA Ingram
info,player,Sylhet Sunrisers,Anamul Haque
info,player,Sylhet Sunrisers,Mohammad Mithun
info,player,Sylhet Sunrisers,RS Bopara
info,player,Sylhet Sunrisers,Mosaddek Hossain
info,player,Sylhet Sunrisers,Mizanur Rahman
info,player,Sylhet Sunrisers,Alauddin Babu
info,player,Sylhet Sunrisers,Aks Swadhin
info,player,Sylhet Sunrisers,Sohag Gazi
info,player,Sylhet Sunrisers,Nazmul Islam
info,player,Sylhet Sunrisers,Shiraz Ahmed
info,registry,people,Aks Swadhin,88256fe1
info,registry,people,Alauddin Babu,721032ec
info,registry,people,Ali Arman,1342d8d8
info,registry,people,Anamul Haque,72b245dd
info,registry,people,CA Ingram,c995d726
info,registry,people,CH Gayle,db584dad
info,registry,people,DJ Bravo,87e562a9
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mehedi Hasan Rana,0b7363da
info,registry,people,Mizanur Rahman,7b0fb3d5
info,registry,people,Mohammad Mithun,77191792
info,registry,people,Mosaddek Hossain,8919756f
info,registry,people,Mozahiduzzaman,a149de90
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Munim Shahriar,dd98b22f
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Nazmul Islam,6575e3bc
info,registry,people,Nurul Hasan,d365d463
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,Raqibul Hasan,4c64cc8d
info,registry,people,Shafiqul Islam,390c914c
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shiraz Ahmed,101dcc31
info,registry,people,Sohag Gazi,5a4c12ab
info,registry,people,Sunzamul Islam,0f348f58
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,Ziaur Rahman,c27518d2
