version,2.2.0
info,balls_per_over,6
info,team,Nottinghamshire
info,team,Glamorgan
info,gender,male
info,season,2022
info,date,2022/04/14
info,date,2022/04/15
info,date,2022/04/16
info,date,2022/04/17
info,event,County Championship
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Glamorgan
info,toss_decision,field
info,umpire,Chris Watts
info,umpire,RK Illingworth
info,match_referee,SG Hinks
info,winner,Glamorgan
info,winner_wickets,7
info,player,Nottinghamshire,BT Slater
info,player,Nottinghamshire,H Hameed
info,player,Nottinghamshire,BM Duckett
info,player,Nottinghamshire,JM Clarke
info,player,Nottinghamshire,JDM Evison
info,player,Nottinghamshire,SJ Mullaney
info,player,Nottinghamshire,TJ Moores
info,player,Nottinghamshire,LA Patterson-White
info,player,Nottinghamshire,JL Pattinson
info,player,Nottinghamshire,BA Hutton
info,player,Nottinghamshire,D Paterson
info,player,Glamorgan,DL Lloyd
info,player,Glamorgan,AG Salter
info,player,Glamorgan,M Labuschagne
info,player,Glamorgan,SA Northeast
info,player,Glamorgan,KS Carlson
info,player,Glamorgan,CB Cooke
info,player,Glamorgan,Callum Taylor
info,player,Glamorgan,MG Neser
info,player,Glamorgan,WJ Weighell
info,player,Glamorgan,T van der Gugten
info,player,Glamorgan,MG Hogan
info,registry,people,AG Salter,1a45b864
info,registry,people,BA Hutton,b3544c5d
info,registry,people,BM Duckett,5f26f677
info,registry,people,BT Slater,c5f1d2a1
info,registry,people,CB Cooke,6755cd5c
info,registry,people,Callum Taylor,5a42a396
info,registry,people,Chris Watts,3cfb1554
info,registry,people,D Paterson,462d7c62
info,registry,people,DL Lloyd,0c7f11be
info,registry,people,H Hameed,fe0c5457
info,registry,people,JDM Evison,00cada13
info,registry,people,JL Pattinson,f752db61
info,registry,people,JM Clarke,2eca67f5
info,registry,people,KS Carlson,9e707e02
info,registry,people,LA Patterson-White,d48c0f40
info,registry,people,M Labuschagne,fa433be6
info,registry,people,MG Hogan,5da34add
info,registry,people,MG Neser,0164b064
info,registry,people,RK Illingworth,20672246
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,SJ Mullaney,0e0d43b4
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,TJ Moores,85dcb721
info,registry,people,WJ Weighell,10f68de1
