version,2.2.0
info,balls_per_over,6
info,team,Scotland
info,team,West Indies
info,gender,male
info,season,2022/23
info,date,2022/10/17
info,event,ICC Men's T20 World Cup
info,match_number,3
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,HG Munsey
info,umpire,Aleem Dar
info,umpire,P Wilson
info,reserve_umpire,HDPK Dharmasena
info,tv_umpire,CM Brown
info,match_referee,BC Broad
info,winner,Scotland
info,winner_runs,42
info,player,Scotland,HG Munsey
info,player,Scotland,MA Jones
info,player,Scotland,MH Cross
info,player,Scotland,RD Berrington
info,player,Scotland,CS MacLeod
info,player,Scotland,MA Leask
info,player,Scotland,CN Greaves
info,player,Scotland,MRJ Watt
info,player,Scotland,JH Davey
info,player,Scotland,SM Sharif
info,player,Scotland,BTJ Wheal
info,player,West Indies,KR Mayers
info,player,West Indies,E Lewis
info,player,West Indies,BA King
info,player,West Indies,N Pooran
info,player,West Indies,SSJ Brooks
info,player,West Indies,R Powell
info,player,West Indies,JO Holder
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,West Indies,OF Smith
info,player,West Indies,OC McCoy
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AS Joseph,b0946605
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BA King,7fca84b7
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BTJ Wheal,3f61a062
info,registry,people,CM Brown,448f4f1c
info,registry,people,CN Greaves,f42064d5
info,registry,people,CS MacLeod,9c376401
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,HG Munsey,ff014c34
info,registry,people,JH Davey,d3868bd0
info,registry,people,JO Holder,0f721006
info,registry,people,KR Mayers,73c18486
info,registry,people,MA Jones,05f96194
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,N Pooran,3241e3fd
info,registry,people,OC McCoy,529eb9e0
info,registry,people,OF Smith,23cca426
info,registry,people,P Wilson,68304a36
info,registry,people,R Powell,650d5e49
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,SSJ Brooks,977b841a
