version,2.2.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Hungary
info,gender,male
info,season,2022
info,date,2022/05/10
info,event,Valletta Cup
info,match_number,3
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Hungary
info,toss_decision,field
info,player_of_match,HV Mandhyan
info,umpire,SN Anand
info,umpire,T Wheeler
info,reserve_umpire,R Sivanadian
info,winner,Hungary
info,winner_wickets,4
info,player,Gibraltar,BA Pai
info,player,Gibraltar,M Gouws
info,player,Gibraltar,L Bruce
info,player,Gibraltar,KJ Ferrary
info,player,Gibraltar,A Reyes
info,player,Gibraltar,K Nestor
info,player,Gibraltar,M Whelan
info,player,Gibraltar,RJ Hatchman
info,player,Gibraltar,S Bodha
info,player,Gibraltar,J Marples
info,player,Gibraltar,N Advani
info,player,Hungary,Khaibar Deldar
info,player,Hungary,Abhijeet Ahuja
info,player,Hungary,Zahir Mohammed
info,player,Hungary,Abhishek Ahuja
info,player,Hungary,HV Mandhyan
info,player,Hungary,A Kheterpal
info,player,Hungary,Ali Farasat
info,player,Hungary,AG Weligamage
info,player,Hungary,Akramullah Malikzada
info,player,Hungary,SA Mohandas
info,player,Hungary,BP Adapaka
info,registry,people,A Kheterpal,2deb4082
info,registry,people,A Reyes,fd2b8c06
info,registry,people,AG Weligamage,747209e0
info,registry,people,Abhijeet Ahuja,b91083bd
info,registry,people,Abhishek Ahuja,65cf74b4
info,registry,people,Akramullah Malikzada,dd3df124
info,registry,people,Ali Farasat,5845b99b
info,registry,people,BA Pai,716bf559
info,registry,people,BP Adapaka,e6082b10
info,registry,people,HV Mandhyan,11f56b14
info,registry,people,J Marples,9d75aec7
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Ferrary,81898acc
info,registry,people,Khaibar Deldar,032c7eab
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Gouws,018f6488
info,registry,people,M Whelan,d613f046
info,registry,people,N Advani,e4f6147b
info,registry,people,R Sivanadian,6100086b
info,registry,people,RJ Hatchman,01c05b6c
info,registry,people,S Bodha,00467a76
info,registry,people,SA Mohandas,8b0b3bba
info,registry,people,SN Anand,ab3d6059
info,registry,people,T Wheeler,f4d1ecae
info,registry,people,Zahir Mohammed,7c38942a
