version,2.2.0
info,balls_per_over,6
info,team,India
info,team,West Indies
info,gender,male
info,season,2022
info,date,2022/08/06
info,event,West Indies v India T20I Series
info,match_number,4
info,venue,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
info,city,Lauderhill
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,Avesh Khan
info,umpire,GO Brathwaite
info,umpire,PA Gustard
info,reserve_umpire,LS Reifer
info,tv_umpire,N Duguid
info,match_referee,RB Richardson
info,winner,India
info,winner_runs,59
info,player,India,RG Sharma
info,player,India,SA Yadav
info,player,India,DJ Hooda
info,player,India,RR Pant
info,player,India,SV Samson
info,player,India,KD Karthik
info,player,India,AR Patel
info,player,India,Ravi Bishnoi
info,player,India,B Kumar
info,player,India,Avesh Khan
info,player,India,Arshdeep Singh
info,player,West Indies,BA King
info,player,West Indies,KR Mayers
info,player,West Indies,DC Thomas
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,SO Hetmyer
info,player,West Indies,JO Holder
info,player,West Indies,AJ Hosein
info,player,West Indies,DC Drakes
info,player,West Indies,AS Joseph
info,player,West Indies,OC McCoy
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AR Patel,2e171977
info,registry,people,AS Joseph,b0946605
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,Avesh Khan,eef2536f
info,registry,people,B Kumar,2e81a32d
info,registry,people,BA King,7fca84b7
info,registry,people,DC Drakes,34b332d3
info,registry,people,DC Thomas,08a4f9ad
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,JO Holder,0f721006
info,registry,people,KD Karthik,c03f1114
info,registry,people,KR Mayers,73c18486
info,registry,people,LS Reifer,5dee559a
info,registry,people,N Duguid,64495506
info,registry,people,N Pooran,3241e3fd
info,registry,people,OC McCoy,529eb9e0
info,registry,people,PA Gustard,25bcf808
info,registry,people,R Powell,650d5e49
info,registry,people,RB Richardson,410e2f12
info,registry,people,RG Sharma,740742ef
info,registry,people,RR Pant,919a3be2
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SV Samson,a4cc73aa
