version,2.2.0
info,balls_per_over,6
info,team,Papua New Guinea
info,team,Zimbabwe
info,gender,female
info,season,2022
info,date,2022/09/18
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,2
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Papua New Guinea
info,toss_decision,bat
info,player_of_match,SM Mayers
info,umpire,Lauren Agenbag
info,umpire,Sharfuddoula
info,reserve_umpire,VG Rathi
info,match_referee,SA Fritz
info,winner,Zimbabwe
info,winner_wickets,8
info,player,Papua New Guinea,S Jimmy
info,player,Papua New Guinea,N Vare
info,player,Papua New Guinea,T Ruma
info,player,Papua New Guinea,B Tau
info,player,Papua New Guinea,K Arua
info,player,Papua New Guinea,P Siaka
info,player,Papua New Guinea,H Doriga
info,player,Papua New Guinea,R Oa
info,player,Papua New Guinea,I Toua
info,player,Papua New Guinea,V Araa
info,player,Papua New Guinea,M Tom
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,SM Mayers
info,player,Zimbabwe,CS Mugeri
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,A Mazvishaya
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,N Sibanda
info,registry,people,A Mazvishaya,09a58e2d
info,registry,people,B Tau,3a6cbb8e
info,registry,people,CS Mugeri,99c86133
info,registry,people,H Doriga,5aa874da
info,registry,people,I Toua,83cde44d
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Arua,8ce69204
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Tshuma,f281dd00
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,M Tom,cebc1351
info,registry,people,N Sibanda,edf62a25
info,registry,people,N Vare,20ace887
info,registry,people,P Marange,a4f1fdd4
info,registry,people,P Mujaji,a246f48f
info,registry,people,P Siaka,595433d2
info,registry,people,R Oa,dd468f06
info,registry,people,S Jimmy,2daa8e40
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SM Mayers,91d9613e
info,registry,people,Sharfuddoula,63896abb
info,registry,people,T Ruma,3697a0ff
info,registry,people,V Araa,040f11e8
info,registry,people,VG Rathi,144e5b16
