version,2.2.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Fiji
info,gender,male
info,season,2022
info,date,2022/09/13
info,event,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A
info,match_number,8
info,venue,"Independence Park, Port Vila"
info,city,Port Vila
info,toss_winner,Fiji
info,toss_decision,field
info,player_of_match,J Batinibulu
info,umpire,CA Polosak
info,umpire,PR Patki
info,reserve_umpire,Bri Olewale
info,winner,Vanuatu
info,winner_runs,18
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,W Wotu
info,player,Vanuatu,PK Matautaava
info,player,Vanuatu,JD Allan
info,player,Vanuatu,A Mansale
info,player,Vanuatu,J Rasu
info,player,Vanuatu,R Tari
info,player,Vanuatu,AL Stephen
info,player,Vanuatu,D Wotu
info,player,Vanuatu,Obed Yosef
info,player,Vanuatu,W Nalisa
info,player,Fiji,N Acawei
info,player,Fiji,SM Tupou
info,player,Fiji,DS Maraiwai
info,player,Fiji,PV Vuniwaqa
info,player,Fiji,J Baleicikoibia
info,player,Fiji,S Ravoka
info,player,Fiji,M Beitaki
info,player,Fiji,P Cabebula
info,player,Fiji,J Batinibulu
info,player,Fiji,TS Waqavakatoga
info,player,Fiji,S Weleilakeba
info,registry,people,A Mansale,a22b4f3f
info,registry,people,AL Stephen,49f6d023
info,registry,people,Bri Olewale,c76cdfd7
info,registry,people,CA Polosak,26a360d2
info,registry,people,D Wotu,9585854d
info,registry,people,DS Maraiwai,a6755401
info,registry,people,J Baleicikoibia,30a307d3
info,registry,people,J Batinibulu,1eb2b096
info,registry,people,J Rasu,1021b6e5
info,registry,people,JD Allan,3758028b
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,M Beitaki,3d29b5fc
info,registry,people,N Acawei,93c8799e
info,registry,people,Obed Yosef,a843d7a8
info,registry,people,P Cabebula,7eb7b47b
info,registry,people,PK Matautaava,af19aa66
info,registry,people,PR Patki,2074ce03
info,registry,people,PV Vuniwaqa,653a7fa8
info,registry,people,R Tari,c4d19735
info,registry,people,S Ravoka,ce7936a5
info,registry,people,S Weleilakeba,45b8f7c8
info,registry,people,SM Tupou,a02b9f81
info,registry,people,TS Waqavakatoga,039cabd9
info,registry,people,W Nalisa,673be48f
info,registry,people,W Wotu,6b25ef46
