version,2.1.0
info,balls_per_over,6
info,team,Canada
info,team,Kenya
info,gender,male
info,season,2007/08
info,date,2007/10/12
info,date,2007/10/13
info,date,2007/10/14
info,date,2007/10/15
info,event,ICC Intercontinental Cup
info,venue,Gymkhana Club Ground
info,city,Nairobi
info,toss_winner,Canada
info,toss_decision,bat
info,umpire,M Erasmus
info,umpire,BB Pradhan
info,winner,Kenya
info,winner_wickets,9
info,player,Canada,Abdul Jabbar
info,player,Canada,Mohammad Iqbal
info,player,Canada,TC Bastiampillai
info,player,Canada,Qaiser Ali
info,player,Canada,AL Kandappah
info,player,Canada,AA Mulla
info,player,Canada,S Dhaniram
info,player,Canada,U Bhatti
info,player,Canada,D Soraine
info,player,Canada,H Osinde
info,player,Canada,K Patel
info,player,Kenya,MA Ouma
info,player,Kenya,DO Obuya
info,player,Kenya,AA Obanda
info,player,Kenya,SO Tikolo
info,player,Kenya,TM Odoyo
info,player,Kenya,CO Obuya
info,player,Kenya,JK Kamande
info,player,Kenya,NN Odhiambo
info,player,Kenya,PJ Ongondo
info,player,Kenya,HA Varaiya
info,player,Kenya,AS Luseno
info,registry,people,AA Mulla,82c528b2
info,registry,people,AA Obanda,7081491e
info,registry,people,AL Kandappah,10840285
info,registry,people,AS Luseno,2b76eb00
info,registry,people,Abdul Jabbar,3f4b9ae5
info,registry,people,BB Pradhan,8603d942
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Soraine,8a79613a
info,registry,people,DO Obuya,6ed3d5ac
info,registry,people,H Osinde,2b8b75a0
info,registry,people,HA Varaiya,eeeebf82
info,registry,people,JK Kamande,270b3f8e
info,registry,people,K Patel,eaaf08bc
info,registry,people,M Erasmus,15d3c895
info,registry,people,MA Ouma,0939c670
info,registry,people,Mohammad Iqbal,48fa71c3
info,registry,people,NN Odhiambo,753b5a2d
info,registry,people,PJ Ongondo,27cc4361
info,registry,people,Qaiser Ali,6d8356ee
info,registry,people,S Dhaniram,123e663a
info,registry,people,SO Tikolo,00d69fa4
info,registry,people,TC Bastiampillai,1f6cbaff
info,registry,people,TM Odoyo,2c13defe
info,registry,people,U Bhatti,c66d9486
