version,2.1.0
info,balls_per_over,6
info,team,New Zealand
info,team,England
info,gender,male
info,season,2007/08
info,date,2008/02/07
info,event,England in New Zealand T20I Series
info,match_number,2
info,venue,Jade Stadium
info,city,Christchurch
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,PD Collingwood
info,umpire,GAV Baxter
info,umpire,BF Bowden
info,reserve_umpire,DM Quested
info,tv_umpire,EA Watkin
info,match_referee,AG Hurst
info,winner,England
info,winner_runs,50
info,player,England,P Mustard
info,player,England,LJ Wright
info,player,England,KP Pietersen
info,player,England,IR Bell
info,player,England,PD Collingwood
info,player,England,OA Shah
info,player,England,AD Mascarenhas
info,player,England,GP Swann
info,player,England,SCJ Broad
info,player,England,RJ Sidebottom
info,player,England,JM Anderson
info,player,New Zealand,JD Ryder
info,player,New Zealand,BB McCullum
info,player,New Zealand,LRPL Taylor
info,player,New Zealand,JM How
info,player,New Zealand,SB Styris
info,player,New Zealand,PG Fulton
info,player,New Zealand,DR Flynn
info,player,New Zealand,KD Mills
info,player,New Zealand,PA Hitchcock
info,player,New Zealand,TG Southee
info,player,New Zealand,CS Martin
info,registry,people,AD Mascarenhas,3edb58fc
info,registry,people,AG Hurst,ad7945c6
info,registry,people,BB McCullum,b8a55852
info,registry,people,BF Bowden,efc0a862
info,registry,people,CS Martin,05e0fab5
info,registry,people,DM Quested,bb312212
info,registry,people,DR Flynn,9d710afe
info,registry,people,EA Watkin,147afe9d
info,registry,people,GAV Baxter,cb4b3ab0
info,registry,people,GP Swann,221ad9d9
info,registry,people,IR Bell,33155d1b
info,registry,people,JD Ryder,91ffa6c6
info,registry,people,JM Anderson,d12143bf
info,registry,people,JM How,fd8f11e9
info,registry,people,KD Mills,7fb32e5b
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,LJ Wright,cca50cd6
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,OA Shah,7bf96684
info,registry,people,P Mustard,1b6fef02
info,registry,people,PA Hitchcock,27d1cc51
info,registry,people,PD Collingwood,a386e91b
info,registry,people,PG Fulton,10a2a1ff
info,registry,people,RJ Sidebottom,9dca07d7
info,registry,people,SB Styris,57efa3be
info,registry,people,SCJ Broad,eba6a852
info,registry,people,TG Southee,13c35c9e
