version,2.1.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,female
info,season,2008
info,date,2008/05/11
info,event,Women's Asia Cup
info,venue,Welagedara Stadium
info,city,Kurunegala
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,A Rawat
info,umpire,RA Kottahachchi
info,umpire,KK Jayaweera
info,reserve_umpire,RR Wimalasiri
info,winner,India
info,winner_runs,177
info,player,India,KV Jain
info,player,India,J Sharma
info,player,India,A Rawat
info,player,India,M Raj
info,player,India,R Dhar
info,player,India,A Sharma
info,player,India,J Goswami
info,player,India,P Roy
info,player,India,SL Pujare
info,player,India,N David
info,player,India,G Sultana
info,player,Sri Lanka,LDVV Silva
info,player,Sri Lanka,PRCS Kumarihami
info,player,Sri Lanka,HASD Siriwardene
info,player,Sri Lanka,SP de Alwis
info,player,Sri Lanka,LE Kaushalya
info,player,Sri Lanka,MADD Surangika
info,player,Sri Lanka,CR Seneviratna
info,player,Sri Lanka,HMD Rasangika
info,player,Sri Lanka,SI Galagedara
info,player,Sri Lanka,SS Weerakkody
info,player,Sri Lanka,AD Janakanthymala
info,registry,people,A Rawat,12e28f5c
info,registry,people,A Sharma,a3ead8da
info,registry,people,AD Janakanthymala,a5162ca9
info,registry,people,CR Seneviratna,bff0535a
info,registry,people,G Sultana,ff227198
info,registry,people,HASD Siriwardene,dbd79036
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,J Goswami,84f1ae7f
info,registry,people,J Sharma,e1eb1e96
info,registry,people,KK Jayaweera,3dfe6953
info,registry,people,KV Jain,b955802a
info,registry,people,LDVV Silva,6e226c31
info,registry,people,LE Kaushalya,8b552293
info,registry,people,M Raj,ec2269dc
info,registry,people,MADD Surangika,3f440bd6
info,registry,people,N David,c3cbf0fc
info,registry,people,P Roy,faaab47c
info,registry,people,PRCS Kumarihami,a1c4aed5
info,registry,people,R Dhar,050492b0
info,registry,people,RA Kottahachchi,808f2939
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,SI Galagedara,05bb5fcf
info,registry,people,SL Pujare,b8b6ae08
info,registry,people,SP de Alwis,c0fb3bf2
info,registry,people,SS Weerakkody,5f862ccd
