version,2.1.0
info,balls_per_over,6
info,team,South Africa
info,team,Australia
info,gender,male
info,season,2008/09
info,date,2009/03/29
info,event,Australia in South Africa T20I Series
info,match_number,2
info,venue,SuperSport Park
info,city,Centurion
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,RE van der Merwe
info,umpire,M Erasmus
info,umpire,BG Jerling
info,reserve_umpire,ZTA Ndamane
info,tv_umpire,RE Koertzen
info,match_referee,JJ Crowe
info,winner,South Africa
info,winner_runs,17
info,player,Australia,MJ Clarke
info,player,Australia,DA Warner
info,player,Australia,RT Ponting
info,player,Australia,DJ Hussey
info,player,Australia,CJ Ferguson
info,player,Australia,CL White
info,player,Australia,BJ Haddin
info,player,Australia,JR Hopes
info,player,Australia,NW Bracken
info,player,Australia,SM Harwood
info,player,Australia,B Laughlin
info,player,South Africa,RJ Peterson
info,player,South Africa,HH Gibbs
info,player,South Africa,AB de Villiers
info,player,South Africa,JP Duminy
info,player,South Africa,RE van der Merwe
info,player,South Africa,JA Morkel
info,player,South Africa,MV Boucher
info,player,South Africa,J Botha
info,player,South Africa,JL Ontong
info,player,South Africa,YA Abdulla
info,player,South Africa,J Louw
info,registry,people,AB de Villiers,c4487b84
info,registry,people,B Laughlin,b2a79f17
info,registry,people,BG Jerling,26457e41
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,CJ Ferguson,9b4935c8
info,registry,people,CL White,d0513f63
info,registry,people,DA Warner,dcce6f09
info,registry,people,DJ Hussey,fd835ab3
info,registry,people,HH Gibbs,e1d1b294
info,registry,people,J Botha,7c503806
info,registry,people,J Louw,9c1ccdea
info,registry,people,JA Morkel,c3d35165
info,registry,people,JJ Crowe,2e760301
info,registry,people,JL Ontong,55f33b32
info,registry,people,JP Duminy,2e8994e7
info,registry,people,JR Hopes,2498e163
info,registry,people,M Erasmus,15d3c895
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,NW Bracken,4c61a0f9
info,registry,people,RE Koertzen,0265fab2
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RJ Peterson,26ff4c29
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SM Harwood,63bff7f9
info,registry,people,YA Abdulla,4353bba5
info,registry,people,ZTA Ndamane,545cc6db
