version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Sri Lanka
info,gender,male
info,season,2009/10
info,date,2010/01/08
info,event,Tri-Nation Tournament in Bangladesh
info,match_number,4
info,venue,Shere Bangla National Stadium
info,city,Mirpur
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,WU Tharanga
info,umpire,Sharfuddoula
info,umpire,SJA Taufel
info,reserve_umpire,AFM Akhtaruddin
info,tv_umpire,Enamul Haque
info,match_referee,AJ Pycroft
info,winner,Sri Lanka
info,winner_wickets,9
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Imrul Kayes
info,player,Bangladesh,Mohammad Ashraful
info,player,Bangladesh,Raqibul Hasan
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Naeem Islam
info,player,Bangladesh,Abdur Razzak
info,player,Bangladesh,Rubel Hossain
info,player,Bangladesh,Syed Rasel
info,player,Sri Lanka,WU Tharanga
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,HDRL Thirimanne
info,player,Sri Lanka,TT Samaraweera
info,player,Sri Lanka,SHT Kandamby
info,player,Sri Lanka,NLTC Perera
info,player,Sri Lanka,T Thushara
info,player,Sri Lanka,S Randiv
info,player,Sri Lanka,HMCM Bandara
info,player,Sri Lanka,KMDN Kulasekara
info,registry,people,AFM Akhtaruddin,b786b38f
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Abdur Razzak,888e32bf
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,Enamul Haque,2ae9be7f
info,registry,people,HDRL Thirimanne,c5928dec
info,registry,people,HMCM Bandara,4fc516bd
info,registry,people,Imrul Kayes,5fbe14fc
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KMDN Kulasekara,469ea22b
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mohammad Ashraful,2bb09eb2
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,Naeem Islam,02e83ac5
info,registry,people,Raqibul Hasan,17efdeb8
info,registry,people,Rubel Hossain,f56cd097
info,registry,people,S Randiv,f5f18a18
info,registry,people,SHT Kandamby,488b7e1b
info,registry,people,SJA Taufel,4b43d5ac
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Syed Rasel,b743f01b
info,registry,people,T Thushara,b2ae53f5
info,registry,people,TT Samaraweera,2008fc75
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,WU Tharanga,7ed9fd56
