version,2.1.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,male
info,season,2010
info,date,2010/06/05
info,event,Zimbabwe Triangular Series
info,match_number,5
info,venue,Harare Sports Club
info,city,
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,LD Chandimal
info,umpire,RE Koertzen
info,umpire,RB Tiffin
info,reserve_umpire,TJ Tapfumaneyi
info,match_referee,JJ Crowe
info,winner,Sri Lanka
info,winner_wickets,6
info,player,India,KD Karthik
info,player,India,NV Ojha
info,player,India,V Kohli
info,player,India,YK Pathan
info,player,India,RG Sharma
info,player,India,SK Raina
info,player,India,RA Jadeja
info,player,India,R Ashwin
info,player,India,Pankaj Singh
info,player,India,AB Dinda
info,player,India,PP Ojha
info,player,Sri Lanka,WU Tharanga
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,CK Kapugedera
info,player,Sri Lanka,BMAJ Mendis
info,player,Sri Lanka,TT Samaraweera
info,player,Sri Lanka,BAW Mendis
info,player,Sri Lanka,KMDN Kulasekara
info,player,Sri Lanka,S Randiv
info,player,Sri Lanka,NLTC Perera
info,player,Sri Lanka,T Thushara
info,registry,people,AB Dinda,66b30f71
info,registry,people,BAW Mendis,ea0cdc12
info,registry,people,BMAJ Mendis,9868bc75
info,registry,people,CK Kapugedera,cfad138c
info,registry,people,JJ Crowe,2e760301
info,registry,people,KD Karthik,c03f1114
info,registry,people,KMDN Kulasekara,469ea22b
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,NV Ojha,890946a0
info,registry,people,PP Ojha,6c6591ab
info,registry,people,Pankaj Singh,e32d22f6
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RB Tiffin,89087a0d
info,registry,people,RE Koertzen,0265fab2
info,registry,people,RG Sharma,740742ef
info,registry,people,S Randiv,f5f18a18
info,registry,people,SK Raina,1dc12ab9
info,registry,people,T Thushara,b2ae53f5
info,registry,people,TJ Tapfumaneyi,abbc280b
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,TT Samaraweera,2008fc75
info,registry,people,V Kohli,ba607b88
info,registry,people,WU Tharanga,7ed9fd56
info,registry,people,YK Pathan,3c6ffae8
