version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Sri Lanka
info,gender,male
info,season,2011
info,date,2011/07/03
info,event,NatWest Series
info,match_number,3
info,venue,Lord's
info,city,London
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,LD Chandimal
info,umpire,BF Bowden
info,umpire,NJ Llong
info,reserve_umpire,JW Lloyds
info,tv_umpire,RK Illingworth
info,match_referee,AG Hurst
info,winner,Sri Lanka
info,winner_wickets,6
info,player,England,AN Cook
info,player,England,C Kieswetter
info,player,England,IJL Trott
info,player,England,KP Pietersen
info,player,England,EJG Morgan
info,player,England,IR Bell
info,player,England,TT Bresnan
info,player,England,SCJ Broad
info,player,England,GP Swann
info,player,England,JM Anderson
info,player,England,JW Dernbach
info,player,Sri Lanka,DPMD Jayawardene
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,SHT Kandamby
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,BMAJ Mendis
info,player,Sri Lanka,KMDN Kulasekara
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,S Randiv
info,player,Sri Lanka,SL Malinga
info,registry,people,AD Mathews,896d78ad
info,registry,people,AG Hurst,ad7945c6
info,registry,people,AN Cook,f41598c1
info,registry,people,BF Bowden,efc0a862
info,registry,people,BMAJ Mendis,9868bc75
info,registry,people,C Kieswetter,1e960f2a
info,registry,people,DPMD Jayawardene,d18f9182
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,GP Swann,221ad9d9
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,IR Bell,33155d1b
info,registry,people,JM Anderson,d12143bf
info,registry,people,JW Dernbach,7be8a0ed
info,registry,people,JW Lloyds,112b8472
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KMDN Kulasekara,469ea22b
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,NJ Llong,573fb985
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,RK Illingworth,20672246
info,registry,people,S Randiv,f5f18a18
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SHT Kandamby,488b7e1b
info,registry,people,SL Malinga,a12e1d51
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,TT Bresnan,58043739
