version,2.1.0
info,balls_per_over,6
info,team,Australia
info,team,India
info,gender,female
info,season,2012/13
info,date,2012/09/27
info,event,ICC Women's World Twenty20
info,match_number,4
info,venue,Galle International Stadium
info,city,
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,EA Osborne
info,umpire,BF Bowden
info,umpire,M Erasmus
info,reserve_umpire,AL Hill
info,match_referee,GF Labrooy
info,winner,Australia
info,winner_wickets,8
info,player,Australia,MM Lanning
info,player,Australia,AJ Healy
info,player,Australia,JE Cameron
info,player,Australia,LC Sthalekar
info,player,Australia,EA Perry
info,player,Australia,RL Haynes
info,player,Australia,AJ Blackwell
info,player,Australia,JL Hunter
info,player,Australia,JL Jonassen
info,player,Australia,JM Fields
info,player,Australia,EA Osborne
info,player,India,A Sharma
info,player,India,PG Raut
info,player,India,M Raj
info,player,India,H Kaur
info,player,India,J Goswami
info,player,India,MR Meshram
info,player,India,N Niranjana
info,player,India,S Naik
info,player,India,S Sharma
info,player,India,A Das
info,player,India,E Bisht
info,registry,people,A Das,8479657a
info,registry,people,A Sharma,a3ead8da
info,registry,people,AJ Blackwell,b9164a9b
info,registry,people,AJ Healy,321644de
info,registry,people,AL Hill,4165ced0
info,registry,people,BF Bowden,efc0a862
info,registry,people,E Bisht,705489eb
info,registry,people,EA Osborne,fe731c62
info,registry,people,EA Perry,be150fc8
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,H Kaur,53cd8da6
info,registry,people,J Goswami,84f1ae7f
info,registry,people,JE Cameron,5ebc3941
info,registry,people,JL Hunter,110839f2
info,registry,people,JL Jonassen,0475a86b
info,registry,people,JM Fields,62d34d5c
info,registry,people,LC Sthalekar,6bb7a785
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Raj,ec2269dc
info,registry,people,MM Lanning,27e003ce
info,registry,people,MR Meshram,89ee5191
info,registry,people,N Niranjana,b4bbe95c
info,registry,people,PG Raut,4958ad5f
info,registry,people,RL Haynes,d7c6b0fb
info,registry,people,S Naik,1318a5f1
info,registry,people,S Sharma,dae6fac5
