version,2.1.0
info,balls_per_over,6
info,team,Perth Scorchers
info,team,Melbourne Renegades
info,gender,male
info,season,2012/13
info,date,2012/12/29
info,event,Big Bash League
info,venue,Western Australia Cricket Association Ground
info,city,Perth
info,toss_winner,Melbourne Renegades
info,toss_decision,field
info,player_of_match,SE Marsh
info,umpire,GC Joshua
info,umpire,MD Martell
info,tv_umpire,IH Lock
info,match_referee,RJ Evans (2)
info,winner,Perth Scorchers
info,winner_runs,51
info,player,Melbourne Renegades,AJ Finch
info,player,Melbourne Renegades,DJ Harris
info,player,Melbourne Renegades,MN Samuels
info,player,Melbourne Renegades,BJ Rohrer
info,player,Melbourne Renegades,TLW Cooper
info,player,Melbourne Renegades,PM Nevill
info,player,Melbourne Renegades,WD Sheridan
info,player,Melbourne Renegades,NJ Rimmington
info,player,Melbourne Renegades,AW O'Brien
info,player,Melbourne Renegades,DJ Pattinson
info,player,Melbourne Renegades,M Muralitharan
info,player,Perth Scorchers,SE Marsh
info,player,Perth Scorchers,HH Gibbs
info,player,Perth Scorchers,AC Voges
info,player,Perth Scorchers,NM Coulter-Nile
info,player,Perth Scorchers,TIF Triffitt
info,player,Perth Scorchers,GB Hogg
info,player,Perth Scorchers,SM Katich
info,player,Perth Scorchers,MJ North
info,player,Perth Scorchers,AC Thomas
info,player,Perth Scorchers,MA Beer
info,player,Perth Scorchers,JP Behrendorff
info,registry,people,AC Thomas,b552a935
info,registry,people,AC Voges,864c199e
info,registry,people,AJ Finch,b8d490fd
info,registry,people,AW O'Brien,d29be810
info,registry,people,BJ Rohrer,27af6414
info,registry,people,DJ Harris,39f82db3
info,registry,people,DJ Pattinson,3fe2db87
info,registry,people,GB Hogg,f708a0bc
info,registry,people,GC Joshua,4c47ebf2
info,registry,people,HH Gibbs,e1d1b294
info,registry,people,IH Lock,a1b1e3c2
info,registry,people,JP Behrendorff,4933f499
info,registry,people,M Muralitharan,4ba44e19
info,registry,people,MA Beer,f60dc2a5
info,registry,people,MD Martell,487c072e
info,registry,people,MJ North,99464591
info,registry,people,MN Samuels,f846de6a
info,registry,people,NJ Rimmington,6042bf26
info,registry,people,NM Coulter-Nile,56ab442f
info,registry,people,PM Nevill,a22fb7b5
info,registry,people,RJ Evans (2),d5fc9e42
info,registry,people,SE Marsh,508a1ea7
info,registry,people,SM Katich,fdedb37c
info,registry,people,TIF Triffitt,593513d5
info,registry,people,TLW Cooper,2318ba22
info,registry,people,WD Sheridan,25d12bb4
