version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Scotland
info,gender,male
info,season,2014/15
info,date,2015/02/23
info,event,ICC Cricket World Cup
info,match_number,14
info,venue,Hagley Oval
info,city,Christchurch
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,MM Ali
info,umpire,S Ravi
info,umpire,RJ Tucker
info,reserve_umpire,PR Reiffel
info,tv_umpire,M Erasmus
info,match_referee,DC Boon
info,winner,England
info,winner_runs,119
info,player,England,MM Ali
info,player,England,IR Bell
info,player,England,GS Ballance
info,player,England,JE Root
info,player,England,EJG Morgan
info,player,England,JWA Taylor
info,player,England,JC Buttler
info,player,England,CR Woakes
info,player,England,SCJ Broad
info,player,England,ST Finn
info,player,England,JM Anderson
info,player,Scotland,KJ Coetzer
info,player,Scotland,CS MacLeod
info,player,Scotland,FRJ Coleman
info,player,Scotland,MW Machan
info,player,Scotland,PL Mommsen
info,player,Scotland,RD Berrington
info,player,Scotland,MH Cross
info,player,Scotland,JH Davey
info,player,Scotland,RM Haq
info,player,Scotland,AC Evans
info,player,Scotland,I Wardlaw
info,registry,people,AC Evans,e9a870ed
info,registry,people,CR Woakes,4c5d73db
info,registry,people,CS MacLeod,9c376401
info,registry,people,DC Boon,e79a1fe3
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,FRJ Coleman,971c3f6d
info,registry,people,GS Ballance,755a77c6
info,registry,people,I Wardlaw,7429c452
info,registry,people,IR Bell,33155d1b
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JH Davey,d3868bd0
info,registry,people,JM Anderson,d12143bf
info,registry,people,JWA Taylor,c374f37f
info,registry,people,KJ Coetzer,85d8110a
info,registry,people,M Erasmus,15d3c895
info,registry,people,MH Cross,8b261d84
info,registry,people,MM Ali,bb351c23
info,registry,people,MW Machan,8c7d6cbe
info,registry,people,PL Mommsen,a56f4b65
info,registry,people,PR Reiffel,c9354f29
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RM Haq,27159c6a
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SCJ Broad,eba6a852
info,registry,people,ST Finn,ccdd8308
