version,2.1.0
info,balls_per_over,6
info,team,Canada
info,team,Namibia
info,gender,male
info,season,2013/14
info,date,2013/11/23
info,event,ICC World Twenty20 Qualifier
info,match_number,46
info,venue,Sheikh Zayed Stadium Nursery 1
info,city,Abu Dhabi
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,NRP Scholtz
info,umpire,GO Brathwaite
info,umpire,IN Ramage
info,reserve_umpire,REJ Martinesz
info,match_referee,D Govindjee
info,winner,Namibia
info,winner_wickets,7
info,player,Canada,R Gunasekera
info,player,Canada,Rizwan Cheema
info,player,Canada,H Patel
info,player,Canada,A Bagai
info,player,Canada,AS Hansra
info,player,Canada,Raza-ur-Rehman
info,player,Canada,D Daesrath
info,player,Canada,AS Dean
info,player,Canada,HS Baidwan
info,player,Canada,Junaid Siddiqui
info,player,Canada,JOA Gordon
info,player,Namibia,LP van der Westhuizen
info,player,Namibia,R van Schoor
info,player,Namibia,SF Burger
info,player,Namibia,CG Williams
info,player,Namibia,NRP Scholtz
info,player,Namibia,MG Erasmus
info,player,Namibia,JP Kotze
info,player,Namibia,C Viljoen
info,player,Namibia,S Groenewald
info,player,Namibia,BM Scholtz
info,player,Namibia,L Klazinga
info,registry,people,A Bagai,112959b2
info,registry,people,AS Dean,5044f30d
info,registry,people,AS Hansra,795df06c
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,C Viljoen,f7b2cbe8
info,registry,people,CG Williams,e16e7347
info,registry,people,D Daesrath,4cbce738
info,registry,people,D Govindjee,8b4c4069
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,H Patel,c4ff0618
info,registry,people,HS Baidwan,7839bf3a
info,registry,people,IN Ramage,33cb7803
info,registry,people,JOA Gordon,bb9b51f4
info,registry,people,JP Kotze,9f308dfc
info,registry,people,Junaid Siddiqui,9025e58f
info,registry,people,L Klazinga,248b72c3
info,registry,people,LP van der Westhuizen,292381e0
info,registry,people,MG Erasmus,95a5e066
info,registry,people,NRP Scholtz,47e20f64
info,registry,people,R Gunasekera,9b6ad88a
info,registry,people,R van Schoor,57ac1d99
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,Raza-ur-Rehman,d146924b
info,registry,people,Rizwan Cheema,3a026eb4
info,registry,people,S Groenewald,15fabcbb
info,registry,people,SF Burger,9ff7f691
