version,2.1.0
info,balls_per_over,6
info,team,England
info,team,West Indies
info,gender,male
info,season,2004
info,date,2004/06/27
info,event,NatWest Series
info,match_number,3
info,venue,Trent Bridge
info,city,Nottingham
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,DJ Bravo
info,umpire,DJ Harper
info,umpire,MR Benson
info,tv_umpire,NJ Llong
info,match_referee,GR Viswanath
info,winner,West Indies
info,winner_wickets,7
info,player,England,ME Trescothick
info,player,England,MP Vaughan
info,player,England,GO Jones
info,player,England,AJ Strauss
info,player,England,PD Collingwood
info,player,England,A McGrath
info,player,England,ID Blackwell
info,player,England,R Clarke
info,player,England,D Gough
info,player,England,SJ Harmison
info,player,England,JM Anderson
info,player,West Indies,CH Gayle
info,player,West Indies,S Chanderpaul
info,player,West Indies,DR Smith
info,player,West Indies,RR Sarwan
info,player,West Indies,BC Lara
info,player,West Indies,RL Powell
info,player,West Indies,DJ Bravo
info,player,West Indies,RD Jacobs
info,player,West Indies,IDR Bradshaw
info,player,West Indies,R Rampaul
info,player,West Indies,JJC Lawson
info,registry,people,A McGrath,e8b5ea8d
info,registry,people,AJ Strauss,b68d14a9
info,registry,people,BC Lara,d5403021
info,registry,people,CH Gayle,db584dad
info,registry,people,D Gough,fcbf5a30
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJ Harper,0ec08b27
info,registry,people,DR Smith,35205dfc
info,registry,people,GO Jones,2e929b99
info,registry,people,GR Viswanath,9333bc07
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,IDR Bradshaw,a7489342
info,registry,people,JJC Lawson,1417ba2f
info,registry,people,JM Anderson,d12143bf
info,registry,people,ME Trescothick,ea42ddb9
info,registry,people,MP Vaughan,6e1b1ec0
info,registry,people,MR Benson,790e14d3
info,registry,people,NJ Llong,573fb985
info,registry,people,PD Collingwood,a386e91b
info,registry,people,R Clarke,8728a058
info,registry,people,R Rampaul,d68e7f48
info,registry,people,RD Jacobs,c1f9b051
info,registry,people,RL Powell,33a50ecf
info,registry,people,RR Sarwan,36d33dd0
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,SJ Harmison,c16d2e28
