version,2.1.0
info,balls_per_over,6
info,team,Australia
info,team,England
info,gender,female
info,season,2013/14
info,date,2014/01/23
info,event,Women's Ashes
info,match_number,2
info,venue,Melbourne Cricket Ground
info,city,
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,NE Bolton
info,umpire,AJ Barrow
info,umpire,GJ Davidson
info,match_referee,D Cox
info,winner,Australia
info,winner_runs,26
info,player,Australia,MM Lanning
info,player,Australia,NE Bolton
info,player,Australia,JE Cameron
info,player,Australia,AJ Blackwell
info,player,Australia,EA Perry
info,player,Australia,AJ Healy
info,player,Australia,JL Jonassen
info,player,Australia,EA Osborne
info,player,Australia,RM Farrell
info,player,Australia,JL Hunter
info,player,Australia,HL Ferling
info,player,England,CM Edwards
info,player,England,HC Knight
info,player,England,LS Greenway
info,player,England,SJ Taylor
info,player,England,A Brindle
info,player,England,NR Sciver
info,player,England,DN Wyatt
info,player,England,JL Gunn
info,player,England,D Hazell
info,player,England,A Shrubsole
info,player,England,KL Cross
info,registry,people,A Brindle,053dc208
info,registry,people,A Shrubsole,32497ecd
info,registry,people,AJ Barrow,a67aa9df
info,registry,people,AJ Blackwell,b9164a9b
info,registry,people,AJ Healy,321644de
info,registry,people,CM Edwards,d4188b60
info,registry,people,D Cox,d68ff74f
info,registry,people,D Hazell,ea8b65ab
info,registry,people,DN Wyatt,a139c379
info,registry,people,EA Osborne,fe731c62
info,registry,people,EA Perry,be150fc8
info,registry,people,GJ Davidson,31ad5973
info,registry,people,HC Knight,4ba0289e
info,registry,people,HL Ferling,a594a6e0
info,registry,people,JE Cameron,5ebc3941
info,registry,people,JL Gunn,907c51ab
info,registry,people,JL Hunter,110839f2
info,registry,people,JL Jonassen,0475a86b
info,registry,people,KL Cross,1ade138e
info,registry,people,LS Greenway,923b0e02
info,registry,people,MM Lanning,27e003ce
info,registry,people,NE Bolton,dd883071
info,registry,people,NR Sciver,f3a18a0c
info,registry,people,RM Farrell,4ed7d23f
info,registry,people,SJ Taylor,e6f36f83
