version,2.2.0
info,balls_per_over,6
info,team,Glamorgan
info,team,Gloucestershire
info,gender,male
info,season,2014
info,date,2014/04/20
info,date,2014/04/21
info,date,2014/04/22
info,date,2014/04/23
info,event,LV= County Championship
info,venue,"Sophia Gardens, Cardiff"
info,city,Cardiff
info,toss_winner,Gloucestershire
info,toss_decision,field
info,umpire,MJD Bodenham
info,umpire,NJ Llong
info,outcome,draw
info,player,Glamorgan,GP Rees
info,player,Glamorgan,WD Bragg
info,player,Glamorgan,SJ Walters
info,player,Glamorgan,JA Rudolph
info,player,Glamorgan,MW Goodwin
info,player,Glamorgan,J Allenby
info,player,Glamorgan,MA Wallace
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,RAJ Smith
info,player,Glamorgan,DA Cosker
info,player,Glamorgan,MG Hogan
info,player,Gloucestershire,M Klinger
info,player,Gloucestershire,CDJ Dent
info,player,Gloucestershire,WA Tavare
info,player,Gloucestershire,APR Gidman
info,player,Gloucestershire,HJH Marshall
info,player,Gloucestershire,WRS Gidman
info,player,Gloucestershire,CL Herring
info,player,Gloucestershire,TMJ Smith
info,player,Gloucestershire,JK Fuller
info,player,Gloucestershire,DA Payne
info,player,Gloucestershire,MD Taylor
info,registry,people,APR Gidman,254db476
info,registry,people,CDJ Dent,10435ca2
info,registry,people,CL Herring,32513930
info,registry,people,DA Cosker,aac9f784
info,registry,people,DA Payne,6c79c098
info,registry,people,GG Wagg,450f6fa6
info,registry,people,GP Rees,93b368d6
info,registry,people,HJH Marshall,70542bef
info,registry,people,J Allenby,7d5e0b78
info,registry,people,JA Rudolph,42537f07
info,registry,people,JK Fuller,dda5aae5
info,registry,people,M Klinger,b970a03f
info,registry,people,MA Wallace,cabf72cc
info,registry,people,MD Taylor,01a95383
info,registry,people,MG Hogan,5da34add
info,registry,people,MJD Bodenham,c40d37a3
info,registry,people,MW Goodwin,03ae720f
info,registry,people,NJ Llong,573fb985
info,registry,people,RAJ Smith,6daf5e8c
info,registry,people,SJ Walters,0bfcc974
info,registry,people,TMJ Smith,0a12e736
info,registry,people,WA Tavare,4bb5dc96
info,registry,people,WD Bragg,7db8d00b
info,registry,people,WRS Gidman,cd882d22
