version,2.1.0
info,balls_per_over,6
info,team,Essex
info,team,Kent
info,gender,male
info,season,2014
info,date,2014/07/12
info,event,NatWest T20 Blast
info,venue,Castle Park Cricket Ground
info,city,Colchester
info,toss_winner,Kent
info,toss_decision,field
info,player_of_match,T Westley
info,umpire,RT Robinson
info,umpire,NA Mallender
info,winner,Essex
info,winner_runs,63
info,player,Essex,ML Pettini
info,player,Essex,JD Ryder
info,player,Essex,T Westley
info,player,Essex,RS Bopara
info,player,Essex,JS Foster
info,player,Essex,RN ten Doeschate
info,player,Essex,BT Foakes
info,player,Essex,GR Napier
info,player,Essex,TJ Phillips
info,player,Essex,MET Salisbury
info,player,Essex,GM Smith
info,player,Kent,DJ Bell-Drummond
info,player,Kent,RWT Key
info,player,Kent,SA Northeast
info,player,Kent,FK Cowdrey
info,player,Kent,AJ Blake
info,player,Kent,DI Stevens
info,player,Kent,SW Billings
info,player,Kent,BW Harmison
info,player,Kent,JC Tredwell
info,player,Kent,ME Claydon
info,player,Kent,AEN Riley
info,registry,people,AEN Riley,eaa4cfc2
info,registry,people,AJ Blake,ea27a674
info,registry,people,BT Foakes,fd770945
info,registry,people,BW Harmison,7795ab76
info,registry,people,DI Stevens,bca21d18
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,FK Cowdrey,1179469b
info,registry,people,GM Smith,be4807e3
info,registry,people,GR Napier,611926bc
info,registry,people,JC Tredwell,49b6c09f
info,registry,people,JD Ryder,91ffa6c6
info,registry,people,JS Foster,e68dd455
info,registry,people,ME Claydon,15101f12
info,registry,people,MET Salisbury,e05b2a5b
info,registry,people,ML Pettini,eba62359
info,registry,people,NA Mallender,3b5dfcd4
info,registry,people,RN ten Doeschate,4ec07775
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,RT Robinson,b143c87d
info,registry,people,RWT Key,bcb01d8c
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,SW Billings,c16d4035
info,registry,people,T Westley,25a42048
info,registry,people,TJ Phillips,ecf7bbc9
