version,2.1.0
info,balls_per_over,6
info,team,Delhi Daredevils
info,team,Royal Challengers Bangalore
info,gender,male
info,season,2014
info,date,2014/04/17
info,event,Indian Premier League
info,match_number,2
info,venue,Sharjah Cricket Stadium
info,city,
info,toss_winner,Royal Challengers Bangalore
info,toss_decision,field
info,player_of_match,YS Chahal
info,umpire,Aleem Dar
info,umpire,S Ravi
info,reserve_umpire,K Bharatan
info,tv_umpire,VA Kulkarni
info,match_referee,GF Labrooy
info,winner,Royal Challengers Bangalore
info,winner_wickets,8
info,player,Delhi Daredevils,MA Agarwal
info,player,Delhi Daredevils,M Vijay
info,player,Delhi Daredevils,KD Karthik
info,player,Delhi Daredevils,MK Tiwary
info,player,Delhi Daredevils,JP Duminy
info,player,Delhi Daredevils,LRPL Taylor
info,player,Delhi Daredevils,JDS Neesham
info,player,Delhi Daredevils,WD Parnell
info,player,Delhi Daredevils,S Nadeem
info,player,Delhi Daredevils,R Sharma
info,player,Delhi Daredevils,Mohammed Shami
info,player,Royal Challengers Bangalore,PA Patel
info,player,Royal Challengers Bangalore,NJ Maddinson
info,player,Royal Challengers Bangalore,V Kohli
info,player,Royal Challengers Bangalore,Yuvraj Singh
info,player,Royal Challengers Bangalore,AB de Villiers
info,player,Royal Challengers Bangalore,JA Morkel
info,player,Royal Challengers Bangalore,S Rana
info,player,Royal Challengers Bangalore,AB Dinda
info,player,Royal Challengers Bangalore,MA Starc
info,player,Royal Challengers Bangalore,YS Chahal
info,player,Royal Challengers Bangalore,VR Aaron
info,registry,people,AB Dinda,66b30f71
info,registry,people,AB de Villiers,c4487b84
info,registry,people,Aleem Dar,f02778d1
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,JA Morkel,c3d35165
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JP Duminy,2e8994e7
info,registry,people,K Bharatan,7e47c743
info,registry,people,KD Karthik,c03f1114
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,M Vijay,4b57e452
info,registry,people,MA Agarwal,00ea847a
info,registry,people,MA Starc,3fb19989
info,registry,people,MK Tiwary,26e5cabf
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,NJ Maddinson,44afbf2d
info,registry,people,PA Patel,b5da6c24
info,registry,people,R Sharma,5d9a1a73
info,registry,people,S Nadeem,9d80c5e1
info,registry,people,S Rana,90edaaa9
info,registry,people,S Ravi,9b9ee0df
info,registry,people,V Kohli,ba607b88
info,registry,people,VA Kulkarni,8fe0c4f8
info,registry,people,VR Aaron,0a3d54b9
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,YS Chahal,57ee1fde
info,registry,people,Yuvraj Singh,1c914163
