version,2.1.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2014/15
info,date,2014/11/28
info,event,Zimbabwe in Bangladesh ODI Series
info,match_number,4
info,venue,Shere Bangla National Stadium
info,city,Mirpur
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Mahmudullah
info,umpire,Anisur Rahman
info,umpire,CB Gaffaney
info,reserve_umpire,Tanvir Ahmed
info,tv_umpire,Sharfuddoula
info,match_referee,RS Madugalle
info,winner,Bangladesh
info,winner_runs,21
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Anamul Haque
info,player,Bangladesh,Imrul Kayes
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Sabbir Rahman
info,player,Bangladesh,Abul Hasan
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Rubel Hossain
info,player,Bangladesh,Jubair Hossain
info,player,Zimbabwe,H Masakadza
info,player,Zimbabwe,V Sibanda
info,player,Zimbabwe,T Maruma
info,player,Zimbabwe,BRM Taylor
info,player,Zimbabwe,SF Mire
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,E Chigumbura
info,player,Zimbabwe,PJ Moor
info,player,Zimbabwe,N Madziva
info,player,Zimbabwe,TL Chatara
info,player,Zimbabwe,T Kamungozi
info,registry,people,Abul Hasan,5c756df3
info,registry,people,Anamul Haque,72b245dd
info,registry,people,Anisur Rahman,affbf093
info,registry,people,BRM Taylor,53597be1
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,E Chigumbura,d2babdd5
info,registry,people,H Masakadza,31fbf891
info,registry,people,Imrul Kayes,5fbe14fc
info,registry,people,Jubair Hossain,902d916b
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,N Madziva,4a36c370
info,registry,people,PJ Moor,a1d3540a
info,registry,people,RS Madugalle,766b5798
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,Rubel Hossain,f56cd097
info,registry,people,SF Mire,3300d23c
info,registry,people,Sabbir Rahman,7147f314
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,T Kamungozi,1fe81cc9
info,registry,people,T Maruma,f55c526f
info,registry,people,TL Chatara,5bbabe59
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,V Sibanda,0fdabe05
