version,2.1.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Sri Lanka
info,gender,male
info,season,2014/15
info,date,2014/10/03
info,event,Asian Games Men's Cricket Competition
info,venue,Yeonhui Cricket Ground
info,city,Incheon
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,umpire,BB Pradhan
info,umpire,Sarika Prasad
info,reserve_umpire,M Kamruzzman
info,match_referee,Iqbal Sikander
info,winner,Sri Lanka
info,winner_runs,68
info,player,Afghanistan,Najeeb Tarakai
info,player,Afghanistan,Fazal Rahman
info,player,Afghanistan,Mohammad Shahzad
info,player,Afghanistan,Samiullah Shenwari
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Karim Sadiq
info,player,Afghanistan,M Nasim Baras
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Qaseem Khan
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Amir Hamza
info,player,Sri Lanka,WU Tharanga
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,HDRL Thirimanne
info,player,Sri Lanka,LHD Dilhara
info,player,Sri Lanka,BMAJ Mendis
info,player,Sri Lanka,PC de Silva
info,player,Sri Lanka,SMA Priyanjan
info,player,Sri Lanka,RLB Rambukwella
info,player,Sri Lanka,DAS Gunaratne
info,player,Sri Lanka,I Udana
info,player,Sri Lanka,AAS Silva
info,registry,people,AAS Silva,94aa1697
info,registry,people,Amir Hamza,dca1ac2e
info,registry,people,BB Pradhan,8603d942
info,registry,people,BMAJ Mendis,9868bc75
info,registry,people,DAS Gunaratne,770494eb
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Fazal Rahman,0dd7db36
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,HDRL Thirimanne,c5928dec
info,registry,people,I Udana,ac5ae4af
info,registry,people,Iqbal Sikander,ee4e7305
info,registry,people,Karim Sadiq,13e5908b
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,LHD Dilhara,30b60511
info,registry,people,M Kamruzzman,266c5fd7
info,registry,people,M Nasim Baras,cecfd092
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Shahzad,d6dcb0c9
info,registry,people,Najeeb Tarakai,2683e28b
info,registry,people,PC de Silva,b40ee8a8
info,registry,people,Qaseem Khan,f90904e4
info,registry,people,RLB Rambukwella,5a892f36
info,registry,people,SMA Priyanjan,fec50c96
info,registry,people,Samiullah Shenwari,61646132
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,WU Tharanga,7ed9fd56
