version,2.1.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Afghanistan
info,gender,male
info,season,2014/15
info,date,2014/11/30
info,event,United Arab Emirates v Afghanistan ODI Series
info,match_number,2
info,venue,ICC Academy
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Khurram Khan
info,umpire,JD Cloete
info,umpire,RA Kettleborough
info,reserve_umpire,Sarika Prasad
info,match_referee,DT Jukes
info,winner,United Arab Emirates
info,winner_wickets,6
info,player,Afghanistan,Usman Ghani
info,player,Afghanistan,Nawroz Mangal
info,player,Afghanistan,Afsar Zazai
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Asghar Stanikzai
info,player,Afghanistan,Samiullah Shenwari
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Mirwais Ashraf
info,player,Afghanistan,Dawlat Zadran
info,player,Afghanistan,Sharafuddin Ashraf
info,player,Afghanistan,Hamid Hassan
info,player,United Arab Emirates,Amjad Ali
info,player,United Arab Emirates,AR Berenger
info,player,United Arab Emirates,Mohammad Shahzad (2)
info,player,United Arab Emirates,Khurram Khan
info,player,United Arab Emirates,Shaiman Anwar
info,player,United Arab Emirates,Saqib Ali
info,player,United Arab Emirates,Krishna Chandran
info,player,United Arab Emirates,Mohammad Naveed
info,player,United Arab Emirates,AM Guruge
info,player,United Arab Emirates,SP Patil
info,player,United Arab Emirates,Salman Farooq
info,registry,people,AM Guruge,26534b48
info,registry,people,AR Berenger,f994f4ca
info,registry,people,Afsar Zazai,50930025
info,registry,people,Amjad Ali,e4271302
info,registry,people,Asghar Stanikzai,88679525
info,registry,people,DT Jukes,7c215d14
info,registry,people,Dawlat Zadran,1fba2ae3
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Hamid Hassan,093ae70b
info,registry,people,JD Cloete,b0419f8c
info,registry,people,Khurram Khan,ae6746e0
info,registry,people,Krishna Chandran,3165bc1b
info,registry,people,Mirwais Ashraf,bdd985f2
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Naveed,4861d29b
info,registry,people,Mohammad Shahzad (2),4c7df2c8
info,registry,people,Nawroz Mangal,0503ae22
info,registry,people,RA Kettleborough,4017868f
info,registry,people,SP Patil,f5c198fb
info,registry,people,Salman Farooq,cf1a0e0f
info,registry,people,Samiullah Shenwari,61646132
info,registry,people,Saqib Ali,04f4f2e1
info,registry,people,Saqlain Haider,c020cef5
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shaiman Anwar,e9630504
info,registry,people,Sharafuddin Ashraf,7e678d00
info,registry,people,Usman Ghani,e3829b2a
